tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,4.661950503160387e-20
4.0,90.0,0.002,2.4361128103810808e-18
4.0,90.0,0.004,6.24485141982929e-17
4.0,90.0,0.006,1.0471064004129275e-15
4.0,90.0,0.008,1.2920825992637159e-14
4.0,90.0,0.01,1.2517318871712787e-13
4.0,90.0,0.012,9.919204779666475e-13
4.0,90.0,0.014,6.6153390659552516e-12
4.0,90.0,0.016,3.7919620833259224e-11
4.0,90.0,0.018000000000000002,1.8987600471666875e-10
4.0,90.0,0.02,8.414616862159302e-10
4.0,90.0,0.022,3.3361489883506177e-09
4.0,90.0,0.024,1.19423487933204e-08
4.0,90.0,0.026000000000000002,3.890780345820613e-08
4.0,90.0,0.028,1.1618983406001808e-07
4.0,90.0,0.03,3.200884283699843e-07
4.0,90.0,0.032,8.182720972861136e-07
4.0,90.0,0.034,1.9517426038761852e-06
4.0,90.0,0.036000000000000004,4.3657883201426376e-06
4.0,90.0,0.038,9.202466628179933e-06
4.0,90.0,0.04,1.8361731481366268e-05
4.0,90.0,0.042,3.482924343341558e-05
4.0,90.0,0.044,6.305774066136723e-05
4.0,90.0,0.046,0.00010937804958655831
4.0,90.0,0.048,0.00018240783614714798
4.0,90.0,0.05,0.00029342272843277265
4.0,90.0,0.052000000000000005,0.0004566559693617614
4.0,90.0,0.054,0.0006894986435513864
4.0,90.0,0.056,0.0010125813812437874
4.0,90.0,0.058,0.001449728628414101
4.0,90.0,0.06,0.0020277865761613857
4.0,90.0,0.062,0.0027763345266779717
4.0,90.0,0.064,0.003727296152757714
4.0,90.0,0.066,0.004914471519300001
4.0,90.0,0.068,0.006373012943870521
4.0,90.0,0.07,0.008138868062313051
4.0,90.0,0.07200000000000001,0.010248212232982183
4.0,90.0,0.074,0.012736890091372449
4.0,90.0,0.076,0.01563988306504268
4.0,90.0,0.078,0.01899081632992596
4.0,90.0,0.08,0.022821515315169308
4.0,90.0,0.082,0.02716161865268499
4.0,90.0,0.084,0.032038251559863805
4.0,90.0,0.08600000000000001,0.0374757611219103
4.0,90.0,0.088,0.04349551284050048
4.0,90.0,0.09,0.050115746139980176
4.0,90.0,0.092,0.05735148524907749
4.0,90.0,0.094,0.06521450096766336
4.0,90.0,0.096,0.0737133182385507
4.0,90.0,0.098,0.08285326412444784
4.0,90.0,0.1,0.09263655069117807
4.0,90.0,0.10200000000000001,0.10306238737422767
4.0,90.0,0.10400000000000001,0.11412711761505431
4.0,90.0,0.106,0.12582437486001005
4.0,90.0,0.108,0.1381452533872338
4.0,90.0,0.11,0.15107848983975342
4.0,90.0,0.112,0.16461065177552353
4.0,90.0,0.114,0.17872632998085125
4.0,90.0,0.116,0.19340833172016014
4.0,90.0,0.11800000000000001,0.20863787250311724
4.0,90.0,0.12,0.22439476433340927
4.0,90.0,0.122,0.24065759875772225
4.0,90.0,0.124,0.2574039233564402
4.0,90.0,0.126,0.27461041060828456
4.0,90.0,0.128,0.2922530183197361
4.0,90.0,0.13,0.3103071410375857
4.0,90.0,0.132,0.32874775206084184
4.0,90.0,0.134,0.3475495358384309
4.0,90.0,0.136,0.3666870106837813
4.0,90.0,0.138,0.3861346418587425
4.0,90.0,0.14,0.4058669451796479
4.0,90.0,0.14200000000000002,0.4258585813799145
4.0,90.0,0.14400000000000002,0.4460844415285781
4.0,90.0,0.146,0.4665197238545745
4.0,90.0,0.148,0.4871400023643428
4.0,90.0,0.15,0.5079212876671738
4.0,90.0,0.152,0.5288400804402267
4.0,90.0,0.154,0.5498734179747754
4.0,90.0,0.156,0.5709989142482563
4.0,90.0,0.158,0.592194793964217
4.0,90.0,0.16,0.6134399209953593
4.0,90.0,0.162,0.634713821654358
4.0,90.0,0.164,0.6559967032037896
4.0,90.0,0.166,0.6772694680010285
4.0,90.0,0.168,0.6985137236568506
4.0,90.0,0.17,0.7197117895682698
4.0,90.0,0.17200000000000001,0.7408467001672149
4.0,90.0,0.17400000000000002,0.76190220520732
4.0,90.0,0.176,0.7828627673917173
4.0,90.0,0.178,0.8037135576254432
4.0,90.0,0.18,0.8244404481571239
4.0,90.0,0.182,0.8450300038561387
4.0,90.0,0.184,0.8654694718535453
4.0,90.0,0.186,0.8857467697578411
4.0,90.0,0.188,0.9058504726401522
4.0,90.0,0.19,0.9257697989677222
4.0,90.0,0.192,0.9454945956496768
4.0,90.0,0.194,0.9650153223449586
4.0,90.0,0.196,0.9843230351690503
4.0,90.0,0.198,1.0034093699236646
4.0,90.0,0.2,1.0222665249619292
4.0,90.0,0.202,1.040887243790706
4.0,90.0,0.20400000000000001,1.0592647975015632
4.0,90.0,0.20600000000000002,1.077392967112527
4.0,90.0,0.20800000000000002,1.0952660258940166
4.0,90.0,0.21,1.112878721744334
4.0,90.0,0.212,1.1302262596726405
4.0,90.0,0.214,1.1473042844405077
4.0,90.0,0.216,1.1641088634069052
4.0,90.0,0.218,1.1806364696157023
4.0,90.0,0.22,1.1968839651594774
4.0,90.0,0.222,1.2128485848486947
4.0,90.0,0.224,1.2285279202108923
4.0,90.0,0.226,1.2439199038405604
4.0,90.0,0.228,1.2590227941168117
4.0,90.0,0.23,1.2738351603026565
4.0,90.0,0.232,1.2883558680367895
4.0,90.0,0.234,1.3025840652261282
4.0,90.0,0.23600000000000002,1.3165191683449735
4.0,90.0,0.23800000000000002,1.3301608491445547
4.0,90.0,0.24,1.3435090217748056
4.0,90.0,0.242,1.3565638303185379
4.0,90.0,0.244,1.3693256367367177
4.0,90.0,0.246,1.3817950092221793
4.0,90.0,0.248,1.393972710957999
4.0,90.0,0.25,1.4058596892757398
4.0,90.0,0.252,1.4174570652078848
4.0,90.0,0.254,1.4287661234280549
4.0,90.0,0.256,1.4397883025719151
4.0,90.0,0.258,1.4505251859312016
4.0,90.0,0.26,1.4609784925127824
4.0,90.0,0.262,1.471150068454331
4.0,90.0,0.264,1.4810418787878865
