tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,2.886109950040912e-21
4.0,90.0,0.002,1.5973321521477165e-19
4.0,90.0,0.004,4.34149716288592e-18
4.0,90.0,0.006,7.726684296119674e-17
4.0,90.0,0.008,1.0130651941743437e-15
4.0,90.0,0.01,1.043885062893211e-14
4.0,90.0,0.012,8.807363778614816e-14
4.0,90.0,0.014,6.259788562484312e-13
4.0,90.0,0.016,3.827281578534309e-12
4.0,90.0,0.018000000000000002,2.045769724520066e-11
4.0,90.0,0.02,9.684428506067494e-11
4.0,90.0,0.022,4.103665430145542e-10
4.0,90.0,0.024,1.5706065487540215e-09
4.0,90.0,0.026000000000000002,5.472043601874682e-09
4.0,90.0,0.028,1.747470567835986e-08
4.0,90.0,0.03,5.1467754972484955e-08
4.0,90.0,0.032,1.405967377607658e-07
4.0,90.0,0.034,3.5808915208881574e-07
4.0,90.0,0.036000000000000004,8.54458158455766e-07
4.0,90.0,0.038,1.9189026089960562e-06
4.0,90.0,0.04,4.073273690634918e-06
4.0,90.0,0.042,8.205899938255439e-06
4.0,90.0,0.044,1.5749522528773225e-05
4.0,90.0,0.046,2.8902780526443827e-05
4.0,90.0,0.048,5.0888825856167704e-05
4.0,90.0,0.05,8.623880730814305e-05
4.0,90.0,0.052000000000000005,0.00014108323655741842
4.0,90.0,0.054,0.0002234314618769399
4.0,90.0,0.056,0.00034341900872918
4.0,90.0,0.058,0.0005135043220070666
4.0,90.0,0.06,0.0007486000256739436
4.0,90.0,0.062,0.0010661285653969996
4.0,90.0,0.064,0.0014859973376754347
4.0,90.0,0.066,0.0020304935278545435
4.0,90.0,0.068,0.002724103414738124
4.0,90.0,0.07,0.0035932645532465966
4.0,90.0,0.07200000000000001,0.004666061878524382
4.0,90.0,0.074,0.00597188037479819
4.0,90.0,0.076,0.00754102760407195
4.0,90.0,0.078,0.009404339236148212
4.0,90.0,0.08,0.011592779933531127
4.0,90.0,0.082,0.014137050698345257
4.0,90.0,0.084,0.01706721224789404
4.0,90.0,0.08600000000000001,0.020412332293970544
4.0,90.0,0.088,0.02420016287558282
4.0,90.0,0.09,0.02845685222544167
4.0,90.0,0.092,0.03320669410201332
4.0,90.0,0.094,0.0384719161333704
4.0,90.0,0.096,0.04427250751997947
4.0,90.0,0.098,0.0506260854395812
4.0,90.0,0.1,0.05754779868588332
4.0,90.0,0.10200000000000001,0.06505026644336347
4.0,90.0,0.10400000000000001,0.07314354963728874
4.0,90.0,0.106,0.08183515198229413
4.0,90.0,0.108,0.09113004766439341
4.0,90.0,0.11,0.10103073250994667
4.0,90.0,0.112,0.11153729550154202
4.0,90.0,0.114,0.12264750757708062
4.0,90.0,0.116,0.1343569247784659
4.0,90.0,0.11800000000000001,0.14665900298605564
4.0,90.0,0.12,0.15954522167225257
4.0,90.0,0.122,0.17300521432205818
4.0,90.0,0.124,0.18702690339163358
4.0,90.0,0.126,0.20159663790108634
4.0,90.0,0.128,0.2166993319794777
4.0,90.0,0.13,0.2323186028942939
4.0,90.0,0.132,0.2484369073013604
4.0,90.0,0.134,0.26503567464226124
4.0,90.0,0.136,0.2820954367934217
4.0,90.0,0.138,0.29959595323335864
4.0,90.0,0.14,0.3175163311419499
4.0,90.0,0.14200000000000002,0.33583513997806247
4.0,90.0,0.14400000000000002,0.35453052019989106
4.0,90.0,0.146,0.3735802858965307
4.0,90.0,0.148,0.39296202119045365
4.0,90.0,0.15,0.4126531703494911
4.0,90.0,0.152,0.4326311216146098
4.0,90.0,0.154,0.45287328480716327
4.0,90.0,0.156,0.47335716282733126
4.0,90.0,0.158,0.494060417195076
4.0,90.0,0.16,0.514960927817015
4.0,90.0,0.162,0.5360368471880067
4.0,90.0,0.164,0.5572666492557362
4.0,90.0,0.166,0.5786291731909203
4.0,90.0,0.168,0.600103662315592
4.0,90.0,0.17,0.62166979844793
4.0,90.0,0.17200000000000001,0.6433077319247447
4.0,90.0,0.17400000000000002,0.6649981075626127
4.0,90.0,0.176,0.6867220868162
4.0,90.0,0.178,0.7084613663878735
4.0,90.0,0.18,0.7301981935366842
4.0,90.0,0.182,0.7519153783275462
4.0,90.0,0.184,0.7735963030531258
4.0,90.0,0.186,0.7952249290519313
4.0,90.0,0.188,0.8167858011364838
4.0,90.0,0.19,0.8382640498354619
4.0,90.0,0.192,0.8596453916435537
4.0,90.0,0.194,0.880916127462415
4.0,90.0,0.196,0.9020631394058694
4.0,90.0,0.198,0.9230738861323182
4.0,90.0,0.2,0.9439363968573088
4.0,90.0,0.202,0.9646392641894556
4.0,90.0,0.20400000000000001,0.9851716359234337
4.0,90.0,0.20600000000000002,1.0055232059145942
4.0,90.0,0.20800000000000002,1.0256842041509435
4.0,90.0,0.21,1.045645386129805
4.0,90.0,0.212,1.0653980216383925
4.0,90.0,0.214,1.0849338830298847
4.0,90.0,0.216,1.1042452330793113
4.0,90.0,0.218,1.12332481249664
4.0,90.0,0.22,1.1421658271680193
4.0,90.0,0.222,1.1607619351899743
4.0,90.0,0.224,1.1791072337556063
4.0,90.0,0.226,1.1971962459464933
4.0,90.0,0.228,1.2150239074788962
4.0,90.0,0.23,1.2325855534482484
4.0,90.0,0.232,1.2498769051114529
4.0,90.0,0.234,1.2668940567424634
4.0,90.0,0.23600000000000002,1.2836334625928758
4.0,90.0,0.23800000000000002,1.3000919239856656
4.0,90.0,0.24,1.316266576567054
4.0,90.0,0.242,1.332154877738427
4.0,90.0,0.244,1.3477545942874807
4.0,90.0,0.246,1.3630637902352483
4.0,90.0,0.248,1.378080814913293
4.0,90.0,0.25,1.3928042912832406
4.0,90.0,0.252,1.4072331045088253
4.0,90.0,0.254,1.421366390788868
4.0,90.0,0.256,1.435203526457965
4.0,90.0,0.258,1.4487441173601499
4.0,90.0,0.26,1.4619879884994862
4.0,90.0,0.262,1.4749351739702927
4.0,90.0,0.264,1.4875859071686133
4.0,90.0,0.266,1.4999406112855498
4.0,90.0,0.268,1.5119998900821858
4.0,90.0,0.27,1.5237645189450266
4.0,90.0,0.272,1.535235436220157
4.0,90.0,0.274,1.546413734823712
4.0,90.0,0.276,1.5573006541256678
4.0,90.0,0.278,1.5678975721034953
4.0,90.0,0.28,1.5782059977617613
4.0,90.0,0.28200000000000003,1.5882275638134076
4.0,90.0,0.28400000000000003,1.5979640196181117
4.0,90.0,0.28600000000000003,1.6074172243728535
4.0,90.0,0.28800000000000003,1.6165891405495811
4.0,90.0,0.29,1.625481827574691
4.0,90.0,0.292,1.6340974357448612
4.0,90.0,0.294,1.6424382003736757
4.0,90.0,0.296,1.6505064361633417
4.0,90.0,0.298,1.6583045317957938
4.0,90.0,0.3,1.6658349447374117
4.0,90.0,0.302,1.6731001962515013
4.0,90.0,0.304,1.680102866612768
4.0,90.0,0.306,1.6868455905180044
4.0,90.0,0.308,1.693331052687209
4.0,90.0,0.31,1.6995619836494045
4.0,90.0,0.312,1.705541155707531
4.0,90.0,0.314,1.7112713790768055
4.0,90.0,0.316,1.7167554981910116
4.0,90.0,0.318,1.7219963881712999
4.0,90.0,0.32,1.7269969514521513
4.0,90.0,0.322,1.7317601145592498
4.0,90.0,0.324,1.736288825034124
4.0,90.0,0.326,1.7405860485005187
4.0,90.0,0.328,1.744654765867549
4.0,90.0,0.33,1.7484979706648398
4.0,90.0,0.332,1.7521186665049235
4.0,90.0,0.334,1.7555198646683163
4.0,90.0,0.336,1.758704581806819
4.0,90.0,0.338,1.761675837760637
4.0,90.0,0.34,1.7644366534851292
4.0,90.0,0.342,1.7669900490830692
4.0,90.0,0.34400000000000003,1.7693390419383603
4.0,90.0,0.34600000000000003,1.7714866449473594
4.0,90.0,0.34800000000000003,1.7734358648440451
4.0,90.0,0.35000000000000003,1.7751897006153559
4.0,90.0,0.352,1.776751142003134
4.0,90.0,0.354,1.7781231680892693
4.0,90.0,0.356,1.7793087459607138
4.0,90.0,0.358,1.7803108294511294
4.0,90.0,0.36,1.781132357956069
4.0,90.0,0.362,1.7817762553186773
4.0,90.0,0.364,1.7822454287830032
4.0,90.0,0.366,1.7825427680121009
4.0,90.0,0.368,1.7826711441682173
4.0,90.0,0.37,1.7826334090524396
4.0,90.0,0.372,1.78243239430127
4.0,90.0,0.374,1.7820709106376933
4.0,90.0,0.376,1.7815517471743758
4.0,90.0,0.378,1.780877670766733
4.0,90.0,0.38,1.7800514254136772
4.0,90.0,0.382,1.77907573170393
4.0,90.0,0.384,1.7779532863058978
4.0,90.0,0.386,1.7766867614990953
4.0,90.0,0.388,1.775278804745326
4.0,90.0,0.39,1.7737320382977226
4.0,90.0,0.392,1.772049058845949
4.0,90.0,0.394,1.7702324371959062
4.0,90.0,0.396,1.768284717982267
4.0,90.0,0.398,1.7662084194123466
4.0,90.0,0.4,1.7640060330398195
4.0,90.0,0.402,1.7616800235668038
4.0,90.0,0.404,1.7592328286729897
4.0,90.0,0.406,1.7566668588704748
4.0,90.0,0.40800000000000003,1.7539844973830125
4.0,90.0,0.41000000000000003,1.7511881000485106
4.0,90.0,0.41200000000000003,1.748279995243561
4.0,90.0,0.41400000000000003,1.7452624838289001
4.0,90.0,0.41600000000000004,1.7421378391147304
4.0,90.0,0.418,1.7389083068448652
4.0,90.0,0.42,1.7355761051987055
4.0,90.0,0.422,1.7321434248100869
4.0,90.0,0.424,1.7286124288021363
4.0,90.0,0.426,1.7249852528372123
4.0,90.0,0.428,1.7212640051811092
4.0,90.0,0.43,1.7174507667807508
4.0,90.0,0.432,1.713547591354576
4.0,90.0,0.434,1.7095565054949087
4.0,90.0,0.436,1.7054795087815806
4.0,90.0,0.438,1.7013185739061705
4.0,90.0,0.44,1.6970756468062
4.0,90.0,0.442,1.6927526468086536
4.0,90.0,0.444,1.6883514667822683
4.0,90.0,0.446,1.683873973298011
4.0,90.0,0.448,1.679322006797213
4.0,90.0,0.45,1.674697381766846
4.0,90.0,0.452,1.67000188692144
4.0,90.0,0.454,1.6652372853911952
4.0,90.0,0.456,1.6604053149158344
4.0,90.0,0.458,1.6555076880437476
4.0,90.0,0.46,1.6505460923360458
4.0,90.0,0.462,1.645522190575142
4.0,90.0,0.464,1.6404376209774505
4.0,90.0,0.466,1.6352939974098828
4.0,90.0,0.468,1.6300929096098091
4.0,90.0,0.47000000000000003,1.62483592340814
4.0,90.0,0.47200000000000003,1.6195245809552326
4.0,90.0,0.47400000000000003,1.6141604009493364
4.0,90.0,0.47600000000000003,1.6087448788672933
4.0,90.0,0.47800000000000004,1.6032794871972427
4.0,90.0,0.48,1.597765675673059
4.0,90.0,0.482,1.592204871510287
4.0,90.0,0.484,1.5865984796433774
4.0,90.0,0.486,1.580947882963985
4.0,90.0,0.488,1.5752544425601098
4.0,90.0,0.49,1.5695194979559222
4.0,90.0,0.492,1.5637443673520717
4.0,90.0,0.494,1.557930347866288
4.0,90.0,0.496,1.5520787157741431
4.0,90.0,0.498,1.5461907267498052
4.0,90.0,0.5,1.5402676161066267
4.0,90.0,0.502,1.5343105990374308
4.0,90.0,0.504,1.5283208708543727
4.0,90.0,0.506,1.522299607228251
4.0,90.0,0.508,1.5162479644271438
4.0,90.0,0.51,1.5101670795542632
4.0,90.0,0.512,1.504058070784916
4.0,90.0,0.514,1.497922037602502
4.0,90.0,0.516,1.491760061033412
4.0,90.0,0.518,1.4855732038807696
4.0,90.0,0.52,1.4793625109569422
4.0,90.0,0.522,1.47312900931472
4.0,90.0,0.524,1.466873708477105
4.0,90.0,0.526,1.4605976006656503
4.0,90.0,0.528,1.4543016610272754
4.0,90.0,0.53,1.447986847859507
4.0,90.0,0.532,1.441654102834093
4.0,90.0,0.534,1.4353043512189325
4.0,90.0,0.536,1.4289385020982854
4.0,90.0,0.538,1.4225574485912147
4.0,90.0,0.54,1.4161620680682225
4.0,90.0,0.542,1.4097532223660443
4.0,90.0,0.544,1.4033317580005686
4.0,90.0,0.546,1.3968985063778603
4.0,90.0,0.548,1.3904542840032437
4.0,90.0,0.55,1.3839998926884363
4.0,90.0,0.552,1.377536119756701
4.0,90.0,0.554,1.3710637382460205
4.0,90.0,0.556,1.364583507110233
4.0,90.0,0.558,1.3580961714181616
4.0,90.0,0.56,1.3516024625506966
4.0,90.0,0.562,1.3451030983958199
4.0,90.0,0.5640000000000001,1.3385987835415827
4.0,90.0,0.5660000000000001,1.332090209467015
4.0,90.0,0.5680000000000001,1.3255780547309495
4.0,90.0,0.5700000000000001,1.3190629851587776
4.0,90.0,0.5720000000000001,1.3125456540271316
4.0,90.0,0.5740000000000001,1.3060267022464822
4.0,90.0,0.5760000000000001,1.299506758541656
4.0,90.0,0.578,1.2929864396302748
4.0,90.0,0.58,1.2864663503991212
4.0,90.0,0.582,1.2799470840784335
4.0,90.0,0.584,1.2734292224141353
4.0,90.0,0.586,1.2669133358380014
4.0,90.0,0.588,1.2603999836357793
4.0,90.0,0.59,1.2538897141132543
4.0,90.0,0.592,1.247383064760281
4.0,90.0,0.594,1.2408805624127954
4.0,90.0,0.596,1.234382723412807
4.0,90.0,0.598,1.2278900537663788
4.0,90.0,0.6,1.2214030492996144
4.0,90.0,0.602,1.2149221958126732
4.0,90.0,0.604,1.2084479692318102
4.0,90.0,0.606,1.2019808357594535
4.0,90.0,0.608,1.1955212520223482
4.0,90.0,0.61,1.1890696652177681
4.0,90.0,0.612,1.1826265132578195
4.0,90.0,0.614,1.1761922249118393
4.0,90.0,0.616,1.169767219946913
4.0,90.0,0.618,1.1633519092665325
4.0,90.0,0.62,1.156946695047391
4.0,90.0,0.622,1.1505519708743512
4.0,90.0,0.624,1.1441681218735933
4.0,90.0,0.626,1.1377955248439648
4.0,90.0,0.628,1.1314345483865385
4.0,90.0,0.63,1.1250855530324082
4.0,90.0,0.632,1.1187488913687356
4.0,90.0,0.634,1.1124249081630673
4.0,90.0,0.636,1.1061139404859295
4.0,90.0,0.638,1.0998163178317228
4.0,90.0,0.64,1.0935323622379636
4.0,90.0,0.642,1.0872623884028294
4.0,90.0,0.644,1.0810067038010802
4.0,90.0,0.646,1.0747656087983546
4.0,90.0,0.648,1.0685393967638532
4.0,90.0,0.65,1.0623283541814377
4.0,90.0,0.652,1.05613276075915
4.0,90.0,0.654,1.0499528895371881
4.0,90.0,0.656,1.0437890069943487
4.0,90.0,0.658,1.037641373152934
4.0,90.0,0.66,1.0315102416821775
