tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,6.671398023118044e-49
4.0,90.0,0.002,8.720756550887624e-47
4.0,90.0,0.004,5.656854862437452e-45
4.0,90.0,0.006,2.4278284838106826e-43
4.0,90.0,0.008,7.755980468235008e-42
4.0,90.0,0.01,1.967262946002126e-40
4.0,90.0,0.012,4.1269378672090377e-39
4.0,90.0,0.014,7.365010401535144e-38
4.0,90.0,0.016,1.1414605355525248e-36
4.0,90.0,0.018000000000000002,1.5607707139201682e-35
4.0,90.0,0.02,1.906400145412746e-34
4.0,90.0,0.022,2.101181792097262e-33
4.0,90.0,0.024,2.1072065541619268e-32
4.0,90.0,0.026000000000000002,1.9363700955498137e-31
4.0,90.0,0.028,1.6402293740211957e-30
4.0,90.0,0.03,1.287358318778936e-29
4.0,90.0,0.032,9.40442488666946e-29
4.0,90.0,0.034,6.419929520904025e-28
4.0,90.0,0.036000000000000004,4.1098801738358126e-27
4.0,90.0,0.038,2.475167879446085e-26
4.0,90.0,0.04,1.4063639706267847e-25
4.0,90.0,0.042,7.55848721013131e-25
4.0,90.0,0.044,3.851631114586507e-24
4.0,90.0,0.046,1.8649679766976058e-23
4.0,90.0,0.048,8.597776421833599e-23
4.0,90.0,0.05,3.780912105114846e-22
4.0,90.0,0.052000000000000005,1.5887466275653277e-21
4.0,90.0,0.054,6.389449234363507e-21
4.0,90.0,0.056,2.4631050381251672e-20
4.0,90.0,0.058,9.114545858619616e-20
4.0,90.0,0.06,3.241960559693049e-19
4.0,90.0,0.062,1.1098360583227861e-18
4.0,90.0,0.064,3.661164054983634e-18
4.0,90.0,0.066,1.1651865310787752e-17
4.0,90.0,0.068,3.581562305856549e-17
4.0,90.0,0.07,1.0644262541415441e-16
4.0,90.0,0.07200000000000001,3.061766461719432e-16
4.0,90.0,0.074,8.532438122929296e-16
4.0,90.0,0.076,2.305872000331433e-15
4.0,90.0,0.078,6.048684723582347e-15
4.0,90.0,0.08,1.5414895070744572e-14
4.0,90.0,0.082,3.819905008387637e-14
4.0,90.0,0.084,9.21222446029301e-14
4.0,90.0,0.08600000000000001,2.1638829514853255e-13
4.0,90.0,0.088,4.95459305348114e-13
4.0,90.0,0.09,1.1066891056249016e-12
4.0,90.0,0.092,2.4133279014360415e-12
4.0,90.0,0.094,5.141634846505571e-12
4.0,90.0,0.096,1.0710093164188534e-11
4.0,90.0,0.098,2.1827164407122007e-11
4.0,90.0,0.1,4.355224659541008e-11
4.0,90.0,0.10200000000000001,8.513780236140912e-11
4.0,90.0,0.10400000000000001,1.6316043732438888e-10
4.0,90.0,0.106,3.0673428833232615e-10
4.0,90.0,0.108,5.660202609852566e-10
4.0,90.0,0.11,1.0258495976450546e-09
4.0,90.0,0.112,1.827132984098004e-09
4.0,90.0,0.114,3.1999038957942466e-09
4.0,90.0,0.116,5.513438475457008e-09
4.0,90.0,0.11800000000000001,9.351009023349927e-09
4.0,90.0,0.12,1.5619581214444693e-08
4.0,90.0,0.122,2.5708282139473026e-08
4.0,90.0,0.124,4.171387668316771e-08
4.0,90.0,0.126,6.675692034257527e-08
4.0,90.0,0.128,1.0541882328070402e-07
4.0,90.0,0.13,1.6433785895114017e-07
4.0,90.0,0.132,2.5301124627703306e-07
4.0,90.0,0.134,3.848608511818199e-07
4.0,90.0,0.136,5.786317636004311e-07
4.0,90.0,0.138,8.602059209847405e-07
4.0,90.0,0.14,1.2649269104854627e-06
4.0,90.0,0.14200000000000002,1.8405468561826164e-06
4.0,90.0,0.14400000000000002,2.650921573927512e-06
4.0,90.0,0.146,3.7805955664107585e-06
4.0,90.0,0.148,5.340433474089668e-06
4.0,90.0,0.15,7.474468768170072e-06
4.0,90.0,0.152,1.0368153191981803e-05
4.0,90.0,0.154,1.4258201111794386e-05
4.0,90.0,0.156,1.9444230893774605e-05
4.0,90.0,0.158,2.6302410048968216e-05
4.0,90.0,0.16,3.530131157597128e-05
4.0,90.0,0.162,4.7020185121846137e-05
4.0,90.0,0.164,6.216983778637087e-05
4.0,90.0,0.166,8.16163052147995e-05
4.0,90.0,0.168,0.00010640747377241227
4.0,90.0,0.17,0.00013780278890949176
4.0,90.0,0.17200000000000001,0.0001773061532865653
4.0,90.0,0.17400000000000002,0.0002267020809632076
4.0,90.0,0.176,0.0002880951312375473
4.0,90.0,0.178,0.0003639525979870447
4.0,90.0,0.18,0.00045715037817900593
4.0,90.0,0.182,0.0005710218873024322
4.0,90.0,0.184,0.0007094098306540681
4.0,90.0,0.186,0.0008767205786283151
4.0,90.0,0.188,0.0010779808324345552
4.0,90.0,0.19,0.001318896205079296
4.0,90.0,0.192,0.0016059112821241762
4.0,90.0,0.194,0.001946270668795762
4.0,90.0,0.196,0.0023480804755969392
4.0,90.0,0.198,0.0028203696447321636
4.0,90.0,0.2,0.0033731504754271066
4.0,90.0,0.202,0.004017477668531425
4.0,90.0,0.20400000000000001,0.004765505180472542
4.0,90.0,0.20600000000000002,0.0056305401543899495
4.0,90.0,0.20800000000000002,0.006627093182702599
4.0,90.0,0.21,0.0077709241508816295
4.0,90.0,0.212,0.00907908291710299
4.0,90.0,0.214,0.010569944096870787
4.0,90.0,0.216,0.012263235245610581
4.0,90.0,0.218,0.01418005776545963
4.0,90.0,0.22,0.016342899904710467
4.0,90.0,0.222,0.018775641269138606
4.0,90.0,0.224,0.021503548323185944
4.0,90.0,0.226,0.024553260424983164
4.0,90.0,0.228,0.02795276601168184
4.0,90.0,0.23,0.031731368629656566
4.0,90.0,0.232,0.03591964258688141
4.0,90.0,0.234,0.04054937809118755
4.0,90.0,0.23600000000000002,0.04565351582714348
4.0,90.0,0.23800000000000002,0.05126607101491682
4.0,90.0,0.24,0.057422047085627544
4.0,90.0,0.242,0.06415733919835631
4.0,90.0,0.244,0.0715086279131206
4.0,90.0,0.246,0.07951326342080707
4.0,90.0,0.248,0.08820914081434907
4.0,90.0,0.25,0.09763456696450627
4.0,90.0,0.252,0.10782811963766699
4.0,90.0,0.254,0.1188284995614617
4.0,90.0,0.256,0.13067437620603017
4.0,90.0,0.258,0.1434042281040076
4.0,90.0,0.26,0.15705617858026294
4.0,90.0,0.262,0.1716678278027892
4.0,90.0,0.264,0.1872760820986809
4.0,90.0,0.266,0.2039169815036757
4.0,90.0,0.268,0.22162552653023715
4.0,90.0,0.27,0.24043550514762746
4.0,90.0,0.272,0.2603793209679762
4.0,90.0,0.274,0.28148782362517394
4.0,90.0,0.276,0.30379014231875767
4.0,90.0,0.278,0.3273135234731296
4.0,90.0,0.28,0.352083173433843
4.0,90.0,0.28200000000000003,0.3781221070876938
4.0,90.0,0.28400000000000003,0.40545100325248784
4.0,90.0,0.28600000000000003,0.4340880676360722
4.0,90.0,0.28800000000000003,0.46404890411308497
4.0,90.0,0.29,0.4953463950124344
4.0,90.0,0.292,0.5279905910493309
4.0,90.0,0.294,0.5619886114733684
4.0,90.0,0.296,0.5973445549392243
4.0,90.0,0.298,0.6340594215396319
4.0,90.0,0.3,0.6721310463719458
4.0,90.0,0.302,0.7115540449403941
4.0,90.0,0.304,0.7523197706265548
4.0,90.0,0.306,0.7944162843912419
4.0,90.0,0.308,0.8378283368022672
4.0,90.0,0.31,0.8825373624150009
4.0,90.0,0.312,0.9285214864666566
4.0,90.0,0.314,0.9757555437811907
4.0,90.0,0.316,1.0242111097200377
4.0,90.0,0.318,1.073856542954869
4.0,90.0,0.32,1.12465703978249
4.0,90.0,0.322,1.1765746996491242
4.0,90.0,0.324,1.229568601501974
4.0,90.0,0.326,1.2835948905400902
4.0,90.0,0.328,1.3386068748945767
4.0,90.0,0.33,1.3945551317300642
4.0,90.0,0.332,1.4513876222251767
4.0,90.0,0.334,1.5090498148595721
4.0,90.0,0.336,1.567484816409056
4.0,90.0,0.338,1.6266335100281997
4.0,90.0,0.34,1.686434699781758
4.0,90.0,0.342,1.746825260972103
4.0,90.0,0.34400000000000003,1.8077402955995518
4.0,90.0,0.34600000000000003,1.8691132922859455
4.0,90.0,0.34800000000000003,1.930876289988905
4.0,90.0,0.35000000000000003,1.9929600448347224
4.0,90.0,0.352,2.0552941994017666
4.0,90.0,0.354,2.1178074537933327
4.0,90.0,0.356,2.1804277378488535
4.0,90.0,0.358,2.243082383855247
4.0,90.0,0.36,2.3056982991356123
4.0,90.0,0.362,2.368202137910262
4.0,90.0,0.364,2.430520471845132
4.0,90.0,0.366,2.4925799587246384
4.0,90.0,0.368,2.5543075087098104
4.0,90.0,0.37,2.6156304476679013
4.0,90.0,0.372,2.6764766770864865
4.0,90.0,0.374,2.7367748301129295
4.0,90.0,0.376,2.796454423289057
4.0,90.0,0.378,2.855446003580494
4.0,90.0,0.38,2.91368129033057
4.0,90.0,0.382,2.9710933117992475
4.0,90.0,0.384,3.027616535978654
4.0,90.0,0.386,3.0831869954078996
4.0,90.0,0.388,3.1377424057407204
4.0,90.0,0.39,3.1912222778504975
4.0,90.0,0.392,3.2435680232875983
4.0,90.0,0.394,3.2947230529340206
4.0,90.0,0.396,3.3446328687297417
4.0,90.0,0.398,3.393245148373969
4.0,90.0,0.4,3.440509822932371
4.0,90.0,0.402,3.486379147308571
4.0,90.0,0.404,3.5308077635642
4.0,90.0,0.406,3.573752757096954
4.0,90.0,0.40800000000000003,3.615173705710207
4.0,90.0,0.41000000000000003,3.655032721630463
4.0,90.0,0.41200000000000003,3.6932944865507387
4.0,90.0,0.41400000000000003,3.729926279798476
4.0,90.0,0.41600000000000004,3.7648979997457483
4.0,90.0,0.418,3.7981821785975787
