tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,0.0
4.0,90.0,0.002,0.0
4.0,90.0,0.004,0.0
4.0,90.0,0.006,0.0
4.0,90.0,0.008,0.0
4.0,90.0,0.01,0.0
4.0,90.0,0.012,0.0
4.0,90.0,0.014,0.0
4.0,90.0,0.016,0.0
4.0,90.0,0.018000000000000002,0.0
4.0,90.0,0.02,0.0
4.0,90.0,0.022,0.0
4.0,90.0,0.024,0.0
4.0,90.0,0.026000000000000002,0.0
4.0,90.0,0.028,0.0
4.0,90.0,0.03,0.0
4.0,90.0,0.032,0.0
4.0,90.0,0.034,0.0
4.0,90.0,0.036000000000000004,0.0
4.0,90.0,0.038,0.0
4.0,90.0,0.04,0.0
4.0,90.0,0.042,0.0
4.0,90.0,0.044,0.0
4.0,90.0,0.046,0.0
4.0,90.0,0.048,0.0
4.0,90.0,0.05,0.0
4.0,90.0,0.052000000000000005,0.0
4.0,90.0,0.054,0.0
4.0,90.0,0.056,0.0
4.0,90.0,0.058,0.0
4.0,90.0,0.06,0.0
4.0,90.0,0.062,0.0
4.0,90.0,0.064,0.0
4.0,90.0,0.066,0.0
4.0,90.0,0.068,0.0
4.0,90.0,0.07,0.0
4.0,90.0,0.07200000000000001,0.0
4.0,90.0,0.074,0.0
4.0,90.0,0.076,0.0
4.0,90.0,0.078,0.0
4.0,90.0,0.08,0.0
4.0,90.0,0.082,0.0
4.0,90.0,0.084,0.0
4.0,90.0,0.08600000000000001,0.0
4.0,90.0,0.088,0.0
4.0,90.0,0.09,0.0
4.0,90.0,0.092,0.0
4.0,90.0,0.094,0.0
4.0,90.0,0.096,0.0
4.0,90.0,0.098,0.0
4.0,90.0,0.1,0.0
4.0,90.0,0.10200000000000001,0.0
4.0,90.0,0.10400000000000001,0.0
4.0,90.0,0.106,0.0
4.0,90.0,0.108,0.0
4.0,90.0,0.11,0.0
4.0,90.0,0.112,0.0
4.0,90.0,0.114,0.0
4.0,90.0,0.116,0.0
4.0,90.0,0.11800000000000001,0.0
4.0,90.0,0.12,0.0
4.0,90.0,0.122,0.0
4.0,90.0,0.124,0.0
4.0,90.0,0.126,0.0
4.0,90.0,0.128,0.0
4.0,90.0,0.13,0.0
4.0,90.0,0.132,0.0
4.0,90.0,0.134,0.0
4.0,90.0,0.136,0.0
4.0,90.0,0.138,0.0
4.0,90.0,0.14,0.0
4.0,90.0,0.14200000000000002,0.0
4.0,90.0,0.14400000000000002,0.0
4.0,90.0,0.146,0.0
4.0,90.0,0.148,0.0
4.0,90.0,0.15,0.0
4.0,90.0,0.152,0.0
4.0,90.0,0.154,0.0
4.0,90.0,0.156,0.0
4.0,90.0,0.158,0.0
4.0,90.0,0.16,0.0
4.0,90.0,0.162,0.0
4.0,90.0,0.164,0.0
4.0,90.0,0.166,0.0
4.0,90.0,0.168,0.0
4.0,90.0,0.17,0.0
4.0,90.0,0.17200000000000001,2.866262311491632e-08
4.0,90.0,0.17400000000000002,6.966237228306824e-07
4.0,90.0,0.176,8.121666015864704e-06
4.0,90.0,0.178,6.057310688701947e-05
4.0,90.0,0.18,0.0003253984557541571
4.0,90.0,0.182,0.0013452780779534756
4.0,90.0,0.184,0.004471012560861939
4.0,90.0,0.186,0.01233715597866112
4.0,90.0,0.188,0.02901470939044055
4.0,90.0,0.19,0.05949833203462
4.0,90.0,0.192,0.10859595454249818
4.0,90.0,0.194,0.17975804250986593
4.0,90.0,0.196,0.2744173759538553
4.0,90.0,0.198,0.39199459958939686
4.0,90.0,0.2,0.5303313119683697
4.0,90.0,0.202,0.6862475588219578
4.0,90.0,0.20400000000000001,0.8560507970273377
4.0,90.0,0.20600000000000002,1.0359336729619113
4.0,90.0,0.20800000000000002,1.2222496644459937
4.0,90.0,0.21,1.4116821314263797
4.0,90.0,0.212,1.6013320725588889
4.0,90.0,0.214,1.7887483926287477
4.0,90.0,0.216,1.9719204575565692
4.0,90.0,0.218,2.1492480657130755
4.0,90.0,0.22,2.319499442313101
4.0,90.0,0.222,2.4817644469570426
4.0,90.0,0.224,2.6354075863202993
4.0,90.0,0.226,2.7800235470378363
4.0,90.0,0.228,2.9153967239235654
4.0,90.0,0.23,3.04146537737709
4.0,90.0,0.232,3.1582905322688917
4.0,90.0,0.234,3.266029422719617
4.0,90.0,0.23600000000000002,3.364913113746799
4.0,90.0,0.23800000000000002,3.455227855641001
4.0,90.0,0.24,3.537299705643845
4.0,90.0,0.242,3.611481965598126
4.0,90.0,0.244,3.678145017746872
4.0,90.0,0.246,3.7376681823700064
4.0,90.0,0.248,3.790433266273876
4.0,90.0,0.25,3.836819515017776
4.0,90.0,0.252,3.877199722976926
4.0,90.0,0.254,3.9119372926208293
4.0,90.0,0.256,3.9413840672461617
4.0,90.0,0.258,3.9658787901494614
4.0,90.0,0.26,3.985746067828699
4.0,90.0,0.262,4.001295735834424
4.0,90.0,0.264,4.012822543645582
4.0,90.0,0.266,4.020606089868417
4.0,90.0,0.268,4.024910951553841
4.0,90.0,0.27,4.0259869618167095
4.0,90.0,0.272,4.02406959857931
4.0,90.0,0.274,4.01938045439478
4.0,90.0,0.276,4.012127763196931
4.0,90.0,0.278,4.002506964665939
4.0,90.0,0.28,3.9907012908716624
4.0,90.0,0.28200000000000003,3.976882363108781
4.0,90.0,0.28400000000000003,3.961210789488948
4.0,90.0,0.28600000000000003,3.9438367560144996
4.0,90.0,0.28800000000000003,3.9249006056074234
4.0,90.0,0.29,3.9045334009822734
4.0,90.0,0.292,3.8828574683900534
4.0,90.0,0.294,3.859986920171993
4.0,90.0,0.296,3.8360281547893105
4.0,90.0,0.298,3.81108033357016
4.0,90.0,0.3,3.7852358338669942
4.0,90.0,0.302,3.758580678669001
4.0,90.0,0.304,3.7311949429842026
4.0,90.0,0.306,3.70315313750973
4.0,90.0,0.308,3.6745245702595213
4.0,90.0,0.31,3.6453736869268236
4.0,90.0,0.312,3.615760390832722
4.0,90.0,0.314,3.5857403433585655
4.0,90.0,0.316,3.5553652457853953
4.0,90.0,0.318,3.524683103472111
4.0,90.0,0.32,3.493738473299312
4.0,90.0,0.322,3.462572695291283
4.0,90.0,0.324,3.431224109306563
4.0,90.0,0.326,3.3997282576599095
4.0,90.0,0.328,3.3681180745070627
4.0,90.0,0.33,3.336424062789588
4.0,90.0,0.332,3.3046744595012885
4.0,90.0,0.334,3.272895390001249
4.0,90.0,0.336,3.2411110120617255
4.0,90.0,0.338,3.209343650302672
4.0,90.0,0.34,3.177613921628899
4.0,90.0,0.342,3.1459408522509142
4.0,90.0,0.34400000000000003,3.1143419868368496
4.0,90.0,0.34600000000000003,3.0828334903102403
4.0,90.0,0.34800000000000003,3.0514302427774194
4.0,90.0,0.35000000000000003,3.020145928038561
4.0,90.0,0.352,2.988993116108036
4.0,90.0,0.354,2.957983340143085
4.0,90.0,0.356,2.927127168154345
4.0,90.0,0.358,2.8964342698477594
4.0,90.0,0.36,2.865913478924836
4.0,90.0,0.362,2.8355728511469245
4.0,90.0,0.364,2.805419718449103
4.0,90.0,0.366,2.775460739370528
4.0,90.0,0.368,2.7457019460503975
4.0,90.0,0.37,2.7161487880220903
4.0,90.0,0.372,2.6868061730226733
4.0,90.0,0.374,2.657678505020282
4.0,90.0,0.376,2.62876971964839
4.0,90.0,0.378,2.6000833172232634
4.0,90.0,0.38,2.571622393509034
4.0,90.0,0.382,2.5433896683836523
4.0,90.0,0.384,2.515387512548694
4.0,90.0,0.386,2.4876179724163285
4.0,90.0,0.388,2.4600827932975915
4.0,90.0,0.39,2.4327834410078233
4.0,90.0,0.392,2.4057211219971664
4.0,90.0,0.394,2.378896802106717
4.0,90.0,0.396,2.3523112240440636
4.0,90.0,0.398,2.3259649236655524
4.0,90.0,0.4,2.299858245146695
4.0,90.0,0.402,2.273991355116536
4.0,90.0,0.404,2.248364255826659
4.0,90.0,0.406,2.222976797420675
4.0,90.0,0.40800000000000003,2.1978286893655206
4.0,90.0,0.41000000000000003,2.17291951110177
4.0,90.0,0.41200000000000003,2.148248721966132
4.0,90.0,0.41400000000000003,2.1238156704358113
4.0,90.0,0.41600000000000004,2.0996196027409306
4.0,90.0,0.418,2.0756596708880535
4.0,90.0,0.42,2.0519349401349456
4.0,90.0,0.422,2.028444395953942
4.0,90.0,0.424,2.005186950518746
4.0,90.0,0.426,1.9821614487470602
4.0,90.0,0.428,1.959366673929303
4.0,90.0,0.43,1.9368013529715797
