tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,0.0
4.0,90.0,0.002,0.0
4.0,90.0,0.004,0.0
4.0,90.0,0.006,0.0
4.0,90.0,0.008,0.0
4.0,90.0,0.01,0.0
4.0,90.0,0.012,0.0
4.0,90.0,0.014,0.0
4.0,90.0,0.016,0.0
4.0,90.0,0.018000000000000002,0.0
4.0,90.0,0.02,0.0
4.0,90.0,0.022,0.0
4.0,90.0,0.024,0.0
4.0,90.0,0.026000000000000002,0.0
4.0,90.0,0.028,0.0
4.0,90.0,0.03,0.0
4.0,90.0,0.032,0.0
4.0,90.0,0.034,0.0
4.0,90.0,0.036000000000000004,0.0
4.0,90.0,0.038,0.0
4.0,90.0,0.04,0.0
4.0,90.0,0.042,0.0
4.0,90.0,0.044,0.0
4.0,90.0,0.046,0.0
4.0,90.0,0.048,0.0
4.0,90.0,0.05,0.0
4.0,90.0,0.052000000000000005,0.0
4.0,90.0,0.054,0.0
4.0,90.0,0.056,0.0
4.0,90.0,0.058,0.0
4.0,90.0,0.06,0.0
4.0,90.0,0.062,0.0
4.0,90.0,0.064,0.0
4.0,90.0,0.066,0.0
4.0,90.0,0.068,0.0
4.0,90.0,0.07,0.0
4.0,90.0,0.07200000000000001,0.0
4.0,90.0,0.074,0.0
4.0,90.0,0.076,0.0
4.0,90.0,0.078,0.0
4.0,90.0,0.08,0.0
4.0,90.0,0.082,0.0
4.0,90.0,0.084,0.0
4.0,90.0,0.08600000000000001,0.0
4.0,90.0,0.088,0.0
4.0,90.0,0.09,0.0
4.0,90.0,0.092,0.0
4.0,90.0,0.094,2.2367091050161536e-10
4.0,90.0,0.096,3.1002974669283895e-09
4.0,90.0,0.098,2.231124960875317e-08
4.0,90.0,0.1,1.1113345330794839e-07
4.0,90.0,0.10200000000000001,4.309568287077406e-07
4.0,90.0,0.10400000000000001,1.387444255200311e-06
4.0,90.0,0.106,3.861862787260878e-06
4.0,90.0,0.108,9.555932152310473e-06
4.0,90.0,0.11,2.1450838380508073e-05
4.0,90.0,0.112,4.435890251309764e-05
4.0,90.0,0.114,8.552550592191145e-05
4.0,90.0,0.116,0.00015522449054294383
4.0,90.0,0.11800000000000001,0.00026728547987832764
4.0,90.0,0.12,0.00043949679696271766
4.0,90.0,0.122,0.0006938409692587603
4.0,90.0,0.124,0.0010565379451543946
4.0,90.0,0.126,0.0015578905568906863
4.0,90.0,0.128,0.002231944440805818
4.0,90.0,0.13,0.0031165980790624184
4.0,90.0,0.132,0.004253086330066908
4.0,90.0,0.134,0.00568398331541098
4.0,90.0,0.136,0.007452965001508188
4.0,90.0,0.138,0.00960424468064014
4.0,90.0,0.14,0.01218178308866269
4.0,90.0,0.14200000000000002,0.015228573557565659
4.0,90.0,0.14400000000000002,0.018786001509972446
4.0,90.0,0.146,0.0228932873820046
4.0,90.0,0.148,0.02758701919957753
4.0,90.0,0.15,0.03290077682883164
4.0,90.0,0.152,0.0388648461569794
4.0,90.0,0.154,0.04550601850546243
4.0,90.0,0.156,0.05284746846418578
4.0,90.0,0.158,0.06090870198372433
4.0,90.0,0.16,0.06970556585195108
4.0,90.0,0.162,0.07925030948329817
4.0,90.0,0.164,0.08955169013939433
4.0,90.0,0.166,0.10062977637101536
4.0,90.0,0.168,0.1124914386447729
4.0,90.0,0.17,0.12513454644003458
4.0,90.0,0.17200000000000001,0.1385547086856932
4.0,90.0,0.17400000000000002,0.15274553870691568
4.0,90.0,0.176,0.16769847333148402
4.0,90.0,0.178,0.18340285058873568
4.0,90.0,0.18,0.19984606287366513
4.0,90.0,0.182,0.21701373603939442
4.0,90.0,0.184,0.23488991591758207
4.0,90.0,0.186,0.25345725380116596
4.0,90.0,0.188,0.27269718646576097
4.0,90.0,0.19,0.29259010823277165
4.0,90.0,0.192,0.31311553362883154
4.0,90.0,0.194,0.3342522498342759
4.0,90.0,0.196,0.35597845853172233
4.0,90.0,0.198,0.37827190705466457
4.0,90.0,0.2,0.40111770443066735
4.0,90.0,0.202,0.42452215118027853
4.0,90.0,0.20400000000000001,0.44846140924340233
4.0,90.0,0.20600000000000002,0.47290578975370845
4.0,90.0,0.20800000000000002,0.4978288713958761
4.0,90.0,0.21,0.5232055542958329
4.0,90.0,0.212,0.5490115061868794
4.0,90.0,0.214,0.5752229635130975
4.0,90.0,0.216,0.601816656385816
4.0,90.0,0.218,0.6287697843894903
4.0,90.0,0.22,0.6560600149150609
4.0,90.0,0.222,0.6836654914881091
4.0,90.0,0.224,0.7115648460465182
4.0,90.0,0.226,0.7397372120933667
4.0,90.0,0.228,0.7681622371258101
4.0,90.0,0.23,0.7968200935188459
4.0,90.0,0.232,0.8256914874720281
4.0,90.0,0.234,0.8547576658711807
4.0,90.0,0.23600000000000002,0.8840255569955924
4.0,90.0,0.23800000000000002,0.9134984953757591
4.0,90.0,0.24,0.9431531691557994
4.0,90.0,0.242,0.9729649526055499
4.0,90.0,0.244,1.0029131546176746
4.0,90.0,0.246,1.0329790444787597
4.0,90.0,0.248,1.0631451870977595
4.0,90.0,0.25,1.0933951432954223
4.0,90.0,0.252,1.123713309247747
4.0,90.0,0.254,1.1540848194472575
4.0,90.0,0.256,1.184495482279935
4.0,90.0,0.258,1.214931733805079
4.0,90.0,0.26,1.2453806023490455
4.0,90.0,0.262,1.2758296798473607
4.0,90.0,0.264,1.3062670975736381
4.0,90.0,0.266,1.3366815048241225
4.0,90.0,0.268,1.3670620496610946
4.0,90.0,0.27,1.39739836113818
4.0,90.0,0.272,1.427720611542895
4.0,90.0,0.274,1.458026261717269
4.0,90.0,0.276,1.488296121862445
4.0,90.0,0.278,1.5185143724653873
4.0,90.0,0.28,1.5486682626218906
4.0,90.0,0.28200000000000003,1.5787466882663717
4.0,90.0,0.28400000000000003,1.6087396463368029
4.0,90.0,0.28600000000000003,1.6386379663192767
4.0,90.0,0.28800000000000003,1.6684331567091117
4.0,90.0,0.29,1.69811730736743
4.0,90.0,0.292,1.7276830222116317
4.0,90.0,0.294,1.7571233697575057
4.0,90.0,0.296,1.7864318448551133
4.0,90.0,0.298,1.815602337816959
4.0,90.0,0.3,1.8446291086465096
4.0,90.0,0.302,1.8735067649221726
4.0,90.0,0.304,1.902230242167382
4.0,90.0,0.306,1.9307989454067656
4.0,90.0,0.308,1.9592490975320935
4.0,90.0,0.31,1.9875742070388058
4.0,90.0,0.312,2.0157593160061684
4.0,90.0,0.314,2.0437944189682313
4.0,90.0,0.316,2.0716712339322334
4.0,90.0,0.318,2.0993819119384174
4.0,90.0,0.32,2.126918167425622
4.0,90.0,0.322,2.1542705117141354
4.0,90.0,0.324,2.18142752373414
4.0,90.0,0.326,2.208375171961495
4.0,90.0,0.328,2.2350962295540486
4.0,90.0,0.33,2.2615698290924504
4.0,90.0,0.332,2.2877711944878723
4.0,90.0,0.334,2.3136715717456915
4.0,90.0,0.336,2.339238362088635
4.0,90.0,0.338,2.364435443968012
4.0,90.0,0.34,2.3892230474590086
4.0,90.0,0.342,2.4135705564979006
4.0,90.0,0.34400000000000003,2.437461427742365
4.0,90.0,0.34600000000000003,2.460846481658887
4.0,90.0,0.34800000000000003,2.4836715054150034
4.0,90.0,0.35000000000000003,2.505886519655649
4.0,90.0,0.352,2.527444229782168
4.0,90.0,0.354,2.5482999278821197
4.0,90.0,0.356,2.5684117214264037
4.0,90.0,0.358,2.5877408261055534
4.0,90.0,0.36,2.6062518370567487
4.0,90.0,0.362,2.6239129464990496
4.0,90.0,0.364,2.6406960968327637
4.0,90.0,0.366,2.656577067978488
4.0,90.0,0.368,2.67153550265596
4.0,90.0,0.37,2.685554875839403
4.0,90.0,0.372,2.6986224158227907
4.0,90.0,0.374,2.7107289847145406
4.0,90.0,0.376,2.7218542628586775
4.0,90.0,0.378,2.732007852695152
4.0,90.0,0.38,2.7412095263803558
4.0,90.0,0.382,2.74945872632012
4.0,90.0,0.384,2.7567550292624854
4.0,90.0,0.386,2.7631031792663654
4.0,90.0,0.388,2.76851134226502
4.0,90.0,0.39,2.7729903887689225
4.0,90.0,0.392,2.776553457955082
4.0,90.0,0.394,2.7792156324502186
4.0,90.0,0.396,2.7809936689714405
4.0,90.0,0.398,2.7819057632715283
4.0,90.0,0.4,2.781971339659321
4.0,90.0,0.402,2.781210860183666
4.0,90.0,0.404,2.7796456507217018
4.0,90.0,0.406,2.7772977422348037
4.0,90.0,0.40800000000000003,2.774189725961472
