tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,1.6063271433406474e-14
4.0,90.0,0.002,4.1874580109049504e-14
4.0,90.0,0.004,1.0497033608196792e-13
4.0,90.0,0.006,2.538187878427928e-13
4.0,90.0,0.008,5.929936969457032e-13
4.0,90.0,0.01,1.341000768998245e-12
4.0,90.0,0.012,2.940599813167074e-12
4.0,90.0,0.014,6.263228295813478e-12
4.0,90.0,0.016,1.2977479809106886e-11
4.0,90.0,0.018000000000000002,2.6196066811687476e-11
4.0,90.0,0.02,5.158375008514162e-11
4.0,90.0,0.022,9.92102132384205e-11
4.0,90.0,0.024,1.865796096351167e-10
4.0,90.0,0.026000000000000002,3.434786343399916e-10
4.0,90.0,0.028,6.195771693480824e-10
4.0,90.0,0.03,1.0961131430843247e-09
4.0,90.0,0.032,1.9035229840716494e-09
4.0,90.0,0.034,3.2475705555735e-09
4.0,90.0,0.036000000000000004,5.447412281530964e-09
4.0,90.0,0.038,8.990146413396576e-09
4.0,90.0,0.04,1.4607760881095992e-08
4.0,90.0,0.042,2.33840442828745e-08
4.0,90.0,0.044,3.691192038698615e-08
4.0,90.0,0.046,5.749948937722972e-08
4.0,90.0,0.048,8.841899828307097e-08
4.0,90.0,0.05,1.3426713007745173e-07
4.0,90.0,0.052000000000000005,2.014269144588467e-07
4.0,90.0,0.054,2.9865779987394706e-07
4.0,90.0,0.056,4.378454011239893e-07
4.0,90.0,0.058,6.349429843398218e-07
4.0,90.0,0.06,9.111407199493859e-07
4.0,90.0,0.062,1.2943024006399515e-06
4.0,90.0,0.064,1.8207126552511928e-06
4.0,90.0,0.066,2.5371805470316823e-06
4.0,90.0,0.068,3.5035476601029697e-06
4.0,90.0,0.07,4.79565018082146e-06
4.0,90.0,0.07200000000000001,6.50878490416558e-06
4.0,90.0,0.074,8.76172838336415e-06
4.0,90.0,0.076,1.1701356455656528e-05
4.0,90.0,0.078,1.550790800477415e-05
4.0,90.0,0.08,2.0400931978454152e-05
4.0,90.0,0.082,2.6645950319778233e-05
4.0,90.0,0.084,3.4571608227307425e-05
4.0,90.0,0.08600000000000001,4.456846643020493e-05
4.0,90.0,0.088,5.70945728949057e-05
4.0,90.0,0.09,7.268981677167287e-05
4.0,90.0,0.092,9.198742148556059e-05
4.0,90.0,0.094,0.00011572526498825464
4.0,90.0,0.096,0.00014475805028476546
4.0,90.0,0.098,0.0001800701454992553
4.0,90.0,0.1,0.00022278898597725622
4.0,90.0,0.10200000000000001,0.000274198932787286
4.0,90.0,0.10400000000000001,0.00033575547149498615
4.0,90.0,0.106,0.0004090996221016584
