condition,t,rt_corr_pdf
4.0,0.0,0.0
4.0,0.002,0.0
4.0,0.004,0.0
4.0,0.006,0.0
4.0,0.008,0.0
4.0,0.01,0.0
4.0,0.012,0.0
4.0,0.014,0.0
4.0,0.016,0.0
4.0,0.018000000000000002,0.0
4.0,0.02,0.0
4.0,0.022,0.0
4.0,0.024,0.0
4.0,0.026000000000000002,0.0
4.0,0.028,0.0
4.0,0.03,0.0
4.0,0.032,0.0
4.0,0.034,0.0
4.0,0.036000000000000004,0.0
4.0,0.038,0.0
4.0,0.04,0.0
4.0,0.042,0.0
4.0,0.044,0.0
4.0,0.046,0.0
4.0,0.048,0.0
4.0,0.05,0.0
4.0,0.052000000000000005,0.0
4.0,0.054,0.0
4.0,0.056,0.0
4.0,0.058,0.0
4.0,0.06,0.0
4.0,0.062,0.0
4.0,0.064,0.0
4.0,0.066,0.0
4.0,0.068,0.0
4.0,0.07,0.0
4.0,0.07200000000000001,0.0
4.0,0.074,0.0
4.0,0.076,0.0
4.0,0.078,0.0
4.0,0.08,0.0
4.0,0.082,0.0
4.0,0.084,0.0
4.0,0.08600000000000001,0.0
4.0,0.088,0.0
4.0,0.09,0.0
4.0,0.092,0.0
4.0,0.094,0.0
4.0,0.096,0.0
4.0,0.098,0.0
4.0,0.1,0.0
4.0,0.10200000000000001,0.0
4.0,0.10400000000000001,0.0
4.0,0.106,0.0
4.0,0.108,0.0
4.0,0.11,6.987677656527168e-07
4.0,0.112,6.217833774322617e-06
4.0,0.114,2.9395966370332127e-05
4.0,0.116,9.838690360565684e-05
4.0,0.11800000000000001,0.0002620523885375078
4.0,0.12,0.0005919060932227931
4.0,0.122,0.0011797472918424283
4.0,0.124,0.002131643094343572
4.0,0.126,0.0035598491698982603
4.0,0.128,0.005574429397793232
4.0,0.13,0.008275961609786265
4.0,0.132,0.0117501252284959
4.0,0.134,0.0160644090540258
4.0,0.136,0.021266778456304508
4.0,0.138,0.027385922822685385
4.0,0.14,0.034432632387316246
4.0,0.14200000000000002,0.04240187731579875
4.0,0.14400000000000002,0.05127523467822216
4.0,0.146,0.06102339736655669
4.0,0.148,0.07160858317568762
4.0,0.15,0.08298673263302664
4.0,0.152,0.0951094379387898
4.0,0.154,0.10792558351218962
4.0,0.156,0.12138270373312775
4.0,0.158,0.13542807854750635
4.0,0.16,0.15000959546562548
4.0,0.162,0.1650764094383798
4.0,0.164,0.18057943191758152
4.0,0.166,0.19647167838026028
4.0,0.168,0.21270850061069033
4.0,0.17,0.22924772667365426
4.0,0.17200000000000001,0.24604972814349302
4.0,0.17400000000000002,0.26307743098781805
4.0,0.176,0.2802962836514641
4.0,0.178,0.2976741933881691
4.0,0.18,0.3151814397467961
4.0,0.182,0.33279057231463516
4.0,0.184,0.35047629831962945
4.0,0.186,0.36821536445882574
4.0,0.188,0.3859864363143242
4.0,0.19,0.40376997790507596
4.0,0.192,0.42154813327111823
4.0,0.194,0.4393046114682266
4.0,0.196,0.45702457594147383
4.0,0.198,0.4746945389254401
4.0,0.2,0.4923022612698439
4.0,0.202,0.5098366578980484
4.0,0.20400000000000001,0.5272877089606973
4.0,0.20600000000000002,0.5446463766381806
4.0,0.20800000000000002,0.5619045274660657
4.0,0.21,0.5790548600008587
4.0,0.212,0.5960908376044753
4.0,0.214,0.6130066261006338
4.0,0.216,0.6297970360418175
4.0,0.218,0.6464574693189734
4.0,0.22,0.6629838698457002
4.0,0.222,0.6793726780527357
4.0,0.224,0.6956272438263136
4.0,0.226,0.7117459960129435
4.0,0.228,0.7277249357056635
4.0,0.23,0.7435609002433319
4.0,0.232,0.7592514969243259
4.0,0.234,0.7747948350598013
4.0,0.23600000000000002,0.7901894100041494
4.0,0.23800000000000002,0.8054340364923858
4.0,0.24,0.8205278033746358
4.0,0.242,0.8354700395401342
4.0,0.244,0.8502602865447197
4.0,0.246,0.8648982756943472
4.0,0.248,0.879383908337427
4.0,0.25,0.8937172386129161
4.0,0.252,0.9078984581655206
4.0,0.254,0.9219278824907059
4.0,0.256,0.9358059386639936
4.0,0.258,0.9495331542676592
4.0,0.26,0.9631101473671978
4.0,0.262,0.9765376174173547
4.0,0.264,0.9898163369974479
4.0,0.266,1.0029471442907125
4.0,0.268,1.015930936234038
4.0,0.27,1.028768662273765
4.0,0.272,1.0414613186708053
4.0,0.274,1.054009943304658
4.0,0.276,1.0664156109312755
4.0,0.278,1.0786794288543191
4.0,0.28,1.0908025329733482
4.0,0.28200000000000003,1.1027860841759973
4.0,0.28400000000000003,1.114631265044286
4.0,0.28600000000000003,1.1263392768479659
4.0,0.28800000000000003,1.137911336800266
4.0,0.29,1.1493486755536106
4.0,0.292,1.1606525349148626
4.0,0.294,1.1718241657614474
4.0,0.296,1.1828648261413373
4.0,0.298,1.1937757795413426
4.0,0.3,1.2045582933094987
4.0,0.302,1.215213637218556
4.0,0.304,1.2257430821586812
4.0,0.306,1.2361478989484997
4.0,0.308,1.2464293572545184
4.0,0.31,1.2565887246098146
4.0,0.312,1.266627265523651
4.0,0.314,1.2765462406743722
4.0,0.316,1.2863469061785744
4.0,0.318,1.2960305129301497
4.0,0.32,1.3055983060033143
4.0,0.322,1.3150515241142495
4.0,0.324,1.3243913991364131
4.0,0.326,1.3336191556650097
4.0,0.328,1.3427360106264679
4.0,0.33,1.3517431729291336
4.0,0.332,1.3606418431516996
4.0,0.334,1.3694332132661766
4.0,0.336,1.3781207928192478
4.0,0.338,1.3867074906035015
4.0,0.34,1.3951938077229906
4.0,0.342,1.4035801082651682
4.0,0.34400000000000003,1.4118670768681338
4.0,0.34600000000000003,1.4200555306803562
4.0,0.34800000000000003,1.4281463550879916
4.0,0.35000000000000003,1.4361404745121555
4.0,0.352,1.4440388368121932
4.0,0.354,1.4518424040289664
4.0,0.356,1.4595521464647883
4.0,0.358,1.4671690386803278
4.0,0.36,1.4746940566687665
4.0,0.362,1.482128175792006
4.0,0.364,1.4894723692316965
4.0,0.366,1.4967276068006263
4.0,0.368,1.5038948540140262
4.0,0.37,1.5109750713531975
4.0,0.372,1.5179692136746563
4.0,0.374,1.5248782297315215
4.0,0.376,1.5317030617829805
4.0,0.378,1.5384446452739156
4.0,0.38,1.5451039085711837
4.0,0.382,1.5516817727461976
4.0,0.384,1.5581791513957566
4.0,0.386,1.564596950494797
4.0,0.388,1.5709360682760012
4.0,0.39,1.577197395132207
4.0,0.392,1.5833818135382962
4.0,0.394,1.5894901979898477
4.0,0.396,1.5955234149562907
