tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,3.566733311885165e-23
4.0,90.0,0.002,2.1395937360053107e-21
4.0,90.0,0.004,6.311981999058151e-20
4.0,90.0,0.006,1.2210114513705286e-18
4.0,90.0,0.008,1.7424824406165502e-17
4.0,90.0,0.01,1.9569550532379267e-16
4.0,90.0,0.012,1.8019647516556436e-15
4.0,90.0,0.014,1.3995302474413297e-14
4.0,90.0,0.016,9.361642993961774e-14
4.0,90.0,0.018000000000000002,5.480642533467303e-13
4.0,90.0,0.02,2.8443476022632755e-12
4.0,90.0,0.022,1.3224247815212133e-11
4.0,90.0,0.024,5.556954538322843e-11
4.0,90.0,0.026000000000000002,2.1265758745638835e-10
4.0,90.0,0.028,7.460948746141131e-10
4.0,90.0,0.03,2.4140793882259544e-09
4.0,90.0,0.032,7.242386125847502e-09
4.0,90.0,0.034,2.0244962936831802e-08
4.0,90.0,0.036000000000000004,5.29702709767479e-08
4.0,90.0,0.038,1.3027831709311768e-07
4.0,90.0,0.04,3.0239319608858016e-07
4.0,90.0,0.042,6.649233351172465e-07
4.0,90.0,0.044,1.3900315823077326e-06
4.0,90.0,0.046,2.772076758184189e-06
4.0,90.0,0.048,5.290672328978656e-06
4.0,90.0,0.05,9.693138787891255e-06
4.0,90.0,0.052000000000000005,1.7096811311630417e-05
4.0,90.0,0.054,2.9109774935265844e-05
4.0,90.0,0.056,4.796659394796243e-05
4.0,90.0,0.058,7.667376471256914e-05
4.0,90.0,0.06,0.00011915820100601173
4.0,90.0,0.062,0.0001804112283841817
4.0,90.0,0.064,0.0002666203903523476
4.0,90.0,0.066,0.0003852818308397908
4.0,90.0,0.068,0.0005452870168011735
4.0,90.0,0.07,0.0007569789574994366
4.0,90.0,0.07200000000000001,0.0010321747008061638
4.0,90.0,0.074,0.001384152584602949
4.0,90.0,0.076,0.0018276043576779184
4.0,90.0,0.078,0.002378553754807283
4.0,90.0,0.08,0.003054244344186018
4.0,90.0,0.082,0.0038730004233579504
4.0,90.0,0.084,0.004854065411251754
4.0,90.0,0.08600000000000001,0.006017422579504984
4.0,90.0,0.088,0.007383603112056139
4.0,90.0,0.09,0.00897348641376588
4.0,90.0,0.092,0.010808097347084523
4.0,90.0,0.094,0.01290840470185486
4.0,90.0,0.096,0.01529512473658886
4.0,90.0,0.098,0.017988533105488827
4.0,90.0,0.1,0.021008287934675168
4.0,90.0,0.10200000000000001,0.02437326625872928
4.0,90.0,0.10400000000000001,0.028101415494596837
4.0,90.0,0.106,0.032209621128927925
4.0,90.0,0.108,0.03671359133736115
4.0,90.0,0.11,0.041627758846520306
4.0,90.0,0.112,0.04696519999480682
4.0,90.0,0.114,0.0527375706470975
4.0,90.0,0.116,0.05895505836987362
4.0,90.0,0.11800000000000001,0.06562635007435506
4.0,90.0,0.12,0.07275861418212883
4.0,90.0,0.122,0.08035749625616975
4.0,90.0,0.124,0.08842712696535347
4.0,90.0,0.126,0.09697014120777431
4.0,90.0,0.128,0.10598770720272566
4.0,90.0,0.13,0.11547956436861292
4.0,90.0,0.132,0.12544406883019885
4.0,90.0,0.134,0.13587824543964994
4.0,90.0,0.136,0.14677784524845938
4.0,90.0,0.138,0.15813740742849314
4.0,90.0,0.14,0.16995032470752852
4.0,90.0,0.14200000000000002,0.18220891145551973
4.0,90.0,0.14400000000000002,0.19490447363055788
4.0,90.0,0.146,0.20802737986655156
4.0,90.0,0.148,0.22156713305677483
4.0,90.0,0.15,0.2355124418576103
4.0,90.0,0.152,0.24985129160429112
4.0,90.0,0.154,0.26457101419463147
4.0,90.0,0.156,0.27965835655721455
4.0,90.0,0.158,0.295099547377013
4.0,90.0,0.16,0.3108803618038121
4.0,90.0,0.162,0.3269861839170095
4.0,90.0,0.164,0.3434020667644025
4.0,90.0,0.166,0.3601127898325622
4.0,90.0,0.168,0.3771029138424216
4.0,90.0,0.17,0.3943568327959657
4.0,90.0,0.17200000000000001,0.41185882322859063
4.0,90.0,0.17400000000000002,0.4295930906470291
4.0,90.0,0.176,0.4475438131549056
4.0,90.0,0.178,0.4656951822872429
4.0,90.0,0.18,0.48403144109182994
4.0,90.0,0.182,0.5025369195094519
4.0,90.0,0.184,0.5211960671168646
4.0,90.0,0.186,0.5399934833062183
4.0,90.0,0.188,0.5589139449826369
4.0,90.0,0.19,0.5779424318680139
4.0,90.0,0.192,0.5970641495039534
4.0,90.0,0.194,0.6162645500503753
4.0,90.0,0.196,0.6355293509787343
4.0,90.0,0.198,0.6548445517602228
4.0,90.0,0.2,0.6741964486498605
4.0,90.0,0.202,0.6935716476671595
4.0,90.0,0.20400000000000001,0.7129570758731903
4.0,90.0,0.20600000000000002,0.732339991042443
4.0,90.0,0.20800000000000002,0.7517079898259771
4.0,90.0,0.21,0.7710490145000755
4.0,90.0,0.212,0.7903513583920362
4.0,90.0,0.214,0.8096036700718416
4.0,90.0,0.216,0.8287949563954286
4.0,90.0,0.218,0.8479145844820672
4.0,90.0,0.22,0.8669522827050239
4.0,90.0,0.222,0.8858981407713327
4.0,90.0,0.224,0.9047426089630635
4.0,90.0,0.226,0.9234764966090541
4.0,90.0,0.228,0.9420909698526575
4.0,90.0,0.23,0.9605775487776905
4.0,90.0,0.232,0.9789281039514257
4.0,90.0,0.234,0.9971348524402533
4.0,90.0,0.23600000000000002,1.0151903533504298
4.0,90.0,0.23800000000000002,1.0330875029432538
4.0,90.0,0.24,1.0508195293710305
4.0,90.0,0.242,1.0683799870773116
4.0,90.0,0.244,1.085762750902082
4.0,90.0,0.246,1.10296200992993
4.0,90.0,0.248,1.1199722611166787
4.0,90.0,0.25,1.1367883027274908
4.0,90.0,0.252,1.1534052276171436
4.0,90.0,0.254,1.1698184163809615
4.0,90.0,0.256,1.186023530402759
4.0,90.0,0.258,1.202016504824162
4.0,90.0,0.26,1.2177935414577652
4.0,90.0,0.262,1.2333511016648186
4.0,90.0,0.264,1.248685899216409
4.0,90.0,0.266,1.2637948931555343
4.0,90.0,0.268,1.2786752806759312
4.0,90.0,0.27,1.2933244900321563
4.0,90.0,0.272,1.3077401734940535
4.0,90.0,0.274,1.32192020035749
4.0,90.0,0.276,1.3358626500221225
4.0,90.0,0.278,1.349565805145834
4.0,90.0,0.28,1.3630281448844634
4.0,90.0,0.28200000000000003,1.3762483382245112
4.0,90.0,0.28400000000000003,1.3892252374156273
4.0,90.0,0.28600000000000003,1.4019578715088687
4.0,90.0,0.28800000000000003,1.4144454400059052
4.0,90.0,0.29,1.426687306623711
4.0,90.0,0.292,1.4386829931785907
4.0,90.0,0.294,1.4504321735927626
4.0,90.0,0.296,1.4619346680262044
4.0,90.0,0.298,1.4731904371359177
4.0,90.0,0.3,1.4841995764643119
4.0,90.0,0.302,1.4949623109579546
4.0,90.0,0.304,1.5054789896175351
4.0,90.0,0.306,1.5157500802795707
4.0,90.0,0.308,1.5257761645299526
4.0,90.0,0.31,1.535557932749223
4.0,90.0,0.312,1.545096179289146
4.0,90.0,0.314,1.5543917977798671
4.0,90.0,0.316,1.5634457765667986
4.0,90.0,0.318,1.5722591942760902
4.0,90.0,0.32,1.5808332155073912
4.0,90.0,0.322,1.5891690866524608
4.0,90.0,0.324,1.5972681318380095
4.0,90.0,0.326,1.6051317489910484
4.0,90.0,0.328,1.6127614060248827
4.0,90.0,0.33,1.6201586371438266
4.0,90.0,0.332,1.6273250392645844
4.0,90.0,0.334,1.6342622685522106
4.0,90.0,0.336,1.6409720370684822
4.0,90.0,0.338,1.647456109530433
4.0,90.0,0.34,1.653716300176836
4.0,90.0,0.342,1.6597544697403086
4.0,90.0,0.34400000000000003,1.6655725225227216
4.0,90.0,0.34600000000000003,1.6711724035715882
4.0,90.0,0.34800000000000003,1.6765560959550772
