tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,0.0
4.0,90.0,0.002,0.0
4.0,90.0,0.004,0.0
4.0,90.0,0.006,0.0
4.0,90.0,0.008,0.0
4.0,90.0,0.01,0.0
4.0,90.0,0.012,0.0
4.0,90.0,0.014,0.0
4.0,90.0,0.016,0.0
4.0,90.0,0.018000000000000002,0.0
4.0,90.0,0.02,0.0
4.0,90.0,0.022,0.0
4.0,90.0,0.024,0.0
4.0,90.0,0.026000000000000002,0.0
4.0,90.0,0.028,0.0
4.0,90.0,0.03,0.0
4.0,90.0,0.032,0.0
4.0,90.0,0.034,0.0
4.0,90.0,0.036000000000000004,0.0
4.0,90.0,0.038,0.0
4.0,90.0,0.04,0.0
4.0,90.0,0.042,0.0
4.0,90.0,0.044,0.0
4.0,90.0,0.046,0.0
4.0,90.0,0.048,0.0
4.0,90.0,0.05,0.0
4.0,90.0,0.052000000000000005,0.0
4.0,90.0,0.054,0.0
4.0,90.0,0.056,0.0
4.0,90.0,0.058,0.0
4.0,90.0,0.06,0.0
4.0,90.0,0.062,0.0
4.0,90.0,0.064,0.0
4.0,90.0,0.066,0.0
4.0,90.0,0.068,0.0
4.0,90.0,0.07,0.0
4.0,90.0,0.07200000000000001,0.0
4.0,90.0,0.074,0.0
4.0,90.0,0.076,0.0
4.0,90.0,0.078,0.0
4.0,90.0,0.08,0.0
4.0,90.0,0.082,0.0
4.0,90.0,0.084,0.0
4.0,90.0,0.08600000000000001,0.0
4.0,90.0,0.088,0.0
4.0,90.0,0.09,0.0
4.0,90.0,0.092,0.0
4.0,90.0,0.094,0.0
4.0,90.0,0.096,0.0
4.0,90.0,0.098,0.0
4.0,90.0,0.1,0.0
4.0,90.0,0.10200000000000001,0.0
4.0,90.0,0.10400000000000001,0.0
4.0,90.0,0.106,0.0
4.0,90.0,0.108,0.0
4.0,90.0,0.11,0.0
4.0,90.0,0.112,0.0
4.0,90.0,0.114,0.0
4.0,90.0,0.116,0.0
4.0,90.0,0.11800000000000001,0.0
4.0,90.0,0.12,0.0
4.0,90.0,0.122,0.0
4.0,90.0,0.124,0.0
4.0,90.0,0.126,0.0
4.0,90.0,0.128,0.0
4.0,90.0,0.13,0.0
4.0,90.0,0.132,0.0
4.0,90.0,0.134,0.0
4.0,90.0,0.136,0.0
4.0,90.0,0.138,0.0
4.0,90.0,0.14,0.0
4.0,90.0,0.14200000000000002,0.0
4.0,90.0,0.14400000000000002,0.0
4.0,90.0,0.146,0.0
4.0,90.0,0.148,0.0
4.0,90.0,0.15,0.0
4.0,90.0,0.152,0.0
4.0,90.0,0.154,0.0
4.0,90.0,0.156,0.0
4.0,90.0,0.158,0.0
4.0,90.0,0.16,0.0
4.0,90.0,0.162,0.0
4.0,90.0,0.164,0.0
4.0,90.0,0.166,0.0
4.0,90.0,0.168,0.0
4.0,90.0,0.17,0.0
4.0,90.0,0.17200000000000001,0.0
4.0,90.0,0.17400000000000002,0.0
4.0,90.0,0.176,0.0
4.0,90.0,0.178,0.0
4.0,90.0,0.18,0.0
4.0,90.0,0.182,0.0
4.0,90.0,0.184,0.0
4.0,90.0,0.186,0.0
4.0,90.0,0.188,0.0
4.0,90.0,0.19,0.0
4.0,90.0,0.192,0.0
4.0,90.0,0.194,0.0
4.0,90.0,0.196,0.0
4.0,90.0,0.198,0.0
4.0,90.0,0.2,0.0
4.0,90.0,0.202,0.0
4.0,90.0,0.20400000000000001,0.0
4.0,90.0,0.20600000000000002,0.0
4.0,90.0,0.20800000000000002,0.0
4.0,90.0,0.21,0.0
4.0,90.0,0.212,0.0
4.0,90.0,0.214,0.0
4.0,90.0,0.216,0.0
4.0,90.0,0.218,0.0
4.0,90.0,0.22,0.0
4.0,90.0,0.222,0.0
4.0,90.0,0.224,0.0
4.0,90.0,0.226,0.0
4.0,90.0,0.228,0.0
4.0,90.0,0.23,0.0
4.0,90.0,0.232,0.0
4.0,90.0,0.234,0.0
4.0,90.0,0.23600000000000002,0.0
4.0,90.0,0.23800000000000002,0.0
4.0,90.0,0.24,0.0
4.0,90.0,0.242,0.0
4.0,90.0,0.244,5.03530510738497e-05
4.0,90.0,0.246,0.00035721021363796073
4.0,90.0,0.248,0.0013684810909287467
4.0,90.0,0.25,0.003770361641231496
4.0,90.0,0.252,0.008391665181379399
4.0,90.0,0.254,0.01606534910367976
4.0,90.0,0.256,0.027502837328595618
4.0,90.0,0.258,0.043213645654483164
4.0,90.0,0.26,0.0634761748703229
4.0,90.0,0.262,0.08834890178195193
4.0,90.0,0.264,0.117705812435351
4.0,90.0,0.266,0.15128163705006337
4.0,90.0,0.268,0.18871688885100674
4.0,90.0,0.27,0.2295971596567656
4.0,90.0,0.272,0.27348446482439787
4.0,90.0,0.274,0.3199405068592425
4.0,90.0,0.276,0.3685427974164541
4.0,90.0,0.278,0.4188949819415928
4.0,90.0,0.28,0.47063273536543004
4.0,90.0,0.28200000000000003,0.5234264379947506
4.0,90.0,0.28400000000000003,0.5769816169469326
4.0,90.0,0.28600000000000003,0.6310379136291361
4.0,90.0,0.28800000000000003,0.6853671406407186
4.0,90.0,0.29,0.7397708312933812
4.0,90.0,0.292,0.794077561041616
4.0,90.0,0.294,0.8481714587056373
4.0,90.0,0.296,0.90195816483428
4.0,90.0,0.298,0.9553225564121136
4.0,90.0,0.3,1.0081628899727106
4.0,90.0,0.302,1.0603970423614602
4.0,90.0,0.304,1.1119578497111449
4.0,90.0,0.306,1.1627905175566076
4.0,90.0,0.308,1.2128507315781645
4.0,90.0,0.31,1.2621031348052025
4.0,90.0,0.312,1.3105200502273824
4.0,90.0,0.314,1.3580803905940764
4.0,90.0,0.316,1.4047687206138313
4.0,90.0,0.318,1.4505744473018427
4.0,90.0,0.32,1.4954911198301273
4.0,90.0,0.322,1.5395158237048703
4.0,90.0,0.324,1.5826486565238105
4.0,90.0,0.326,1.6248922744231022
4.0,90.0,0.328,1.6662514998258422
4.0,90.0,0.33,1.706732982362869
4.0,90.0,0.332,1.7463449059107907
4.0,90.0,0.334,1.7850967356190433
4.0,90.0,0.336,1.822998999601684
4.0,90.0,0.338,1.8600631006687383
4.0,90.0,0.34,1.8963011540804517
4.0,90.0,0.342,1.931725847837682
4.0,90.0,0.34400000000000003,1.9663831720846112
4.0,90.0,0.34600000000000003,2.000292195357029
4.0,90.0,0.34800000000000003,2.033457246538333
4.0,90.0,0.35000000000000003,2.0658852959130956
4.0,90.0,0.352,2.097585931285027
4.0,90.0,0.354,2.1285700148364177
4.0,90.0,0.356,2.158849144102703
4.0,90.0,0.358,2.188435371656622
4.0,90.0,0.36,2.2173410355858767
4.0,90.0,0.362,2.245578646501881
4.0,90.0,0.364,2.273160807127415
4.0,90.0,0.366,2.300100152428604
4.0,90.0,0.368,2.326409303621567
4.0,90.0,0.37,2.3521008320582997
4.0,90.0,0.372,2.3771872304416015
4.0,90.0,0.374,2.4016808896536905
4.0,90.0,0.376,2.4255940799932367
4.0,90.0,0.378,2.4489389359426026
4.0,90.0,0.38,2.471727443805686
4.0,90.0,0.382,2.4939714317083
4.0,90.0,0.384,2.5156825615614977
4.0,90.0,0.386,2.5368723226680068
4.0,90.0,0.388,2.5575520267121097
4.0,90.0,0.39,2.5777328039196172
4.0,90.0,0.392,2.5974256002109115
4.0,90.0,0.394,2.6166624231709728
4.0,90.0,0.396,2.6354537106758325
4.0,90.0,0.398,2.6538039644704887
4.0,90.0,0.4,2.671719850761995
4.0,90.0,0.402,2.689209026183883
4.0,90.0,0.404,2.706279569967046
4.0,90.0,0.406,2.722939749025429
4.0,90.0,0.40800000000000003,2.739197899080954
4.0,90.0,0.41000000000000003,2.7550623566816483
4.0,90.0,0.41200000000000003,2.7705414170152447
4.0,90.0,0.41400000000000003,2.785643306194097
4.0,90.0,0.41600000000000004,2.800376162298533
4.0,90.0,0.418,2.814748022043912
4.0,90.0,0.42,2.8287668112341664
4.0,90.0,0.422,2.842440337865972
4.0,90.0,0.424,2.8557762871495433
4.0,90.0,0.426,2.8687822179535774
4.0,90.0,0.428,2.8814655603330004
4.0,90.0,0.43,2.89383361389616
4.0,90.0,0.432,2.9058935468334366
4.0,90.0,0.434,2.917652395474138
4.0,90.0,0.436,2.929117064270029
4.0,90.0,0.438,2.940294326126465
4.0,90.0,0.44,2.9511908230186883
4.0,90.0,0.442,2.9618130668432303
4.0,90.0,0.444,2.972178220813538
4.0,90.0,0.446,2.982293128908239
