condition,t,rt_corr_pdf
4.0,0.0,2.0029632976631608e-15
4.0,0.002,8.16297709923979e-14
4.0,0.004,1.6231081366512025e-12
4.0,0.006,2.0995623740697993e-11
4.0,0.008,1.9880077505248827e-10
4.0,0.01,1.4702138421592631e-09
4.0,0.012,8.85027594599482e-09
4.0,0.014,4.4635641956915975e-08
4.0,0.016,1.9271347195758613e-07
4.0,0.018000000000000002,7.244404882629036e-07
4.0,0.02,2.4042984742436268e-06
4.0,0.022,7.128595913619548e-06
4.0,0.024,1.9078971580354424e-05
4.0,0.026000000000000002,4.652573568178687e-05
4.0,0.028,0.00010426301118752235
4.0,0.03,0.00021642379835117947
4.0,0.032,0.0004191992097831042
4.0,0.034,0.0007628834225297239
4.0,0.036000000000000004,0.0013127449220114696
4.0,0.038,0.0021484558180266348
4.0,0.04,0.0033620987743146614
4.0,0.042,0.005055015322256414
4.0,0.044,0.007333902986169692
4.0,0.046,0.010306605644567769
4.0,0.048,0.014077997582203008
4.0,0.05,0.018746271782685432
4.0,0.052000000000000005,0.024399837808128055
4.0,0.054,0.03111493523590348
4.0,0.056,0.03895398662436318
4.0,0.058,0.04796465351469988
4.0,0.06,0.05817951945703148
4.0,0.062,0.06961630237798345
4.0,0.064,0.0822784907510122
4.0,0.066,0.09615629998335411
4.0,0.068,0.11122785371302989
4.0,0.07,0.12746050654613666
4.0,0.07200000000000001,0.1448122381080171
4.0,0.074,0.16323306171442176
4.0,0.076,0.18266640358562206
4.0,0.078,0.20305041981192334
4.0,0.08,0.22431922799685397
4.0,0.082,0.24640403860766089
4.0,0.084,0.26923417762483703
4.0,0.08600000000000001,0.2927379972455061
4.0,0.088,0.31684367533509666
4.0,0.09,0.34147990722255067
4.0,0.092,0.36657649547517174
4.0,0.094,0.39206484463432584
4.0,0.096,0.41787836868776834
4.0,0.098,0.44395281942316706
4.0,0.1,0.4702265438551696
4.0,0.10200000000000001,0.4966406787312925
4.0,0.10400000000000001,0.5231392897695858
4.0,0.106,0.5496694628186586
4.0,0.108,0.5761813536013493
4.0,0.11,0.6026282021399488
4.0,0.112,0.6289663173881166
4.0,0.114,0.655155037030392
4.0,0.116,0.6811566668671797
4.0,0.11800000000000001,0.7069364036897005
