condition,t,rt_corr_pdf
4.0,0.0,0.0
4.0,0.002,0.0
4.0,0.004,0.0
4.0,0.006,0.0
4.0,0.008,0.0
4.0,0.01,0.0
4.0,0.012,0.0
4.0,0.014,0.0
4.0,0.016,0.0
4.0,0.018000000000000002,0.0
4.0,0.02,0.0
4.0,0.022,0.0
4.0,0.024,0.0
4.0,0.026000000000000002,0.0
4.0,0.028,0.0
4.0,0.03,0.0
4.0,0.032,0.0
4.0,0.034,0.0
4.0,0.036000000000000004,0.0
4.0,0.038,0.0
4.0,0.04,0.0
4.0,0.042,0.0
4.0,0.044,0.0
4.0,0.046,0.0
4.0,0.048,0.0
4.0,0.05,0.0
4.0,0.052000000000000005,0.0
4.0,0.054,0.0
4.0,0.056,0.0
4.0,0.058,0.0
4.0,0.06,0.0
4.0,0.062,0.0
4.0,0.064,0.0
4.0,0.066,0.0
4.0,0.068,0.0
4.0,0.07,0.0
4.0,0.07200000000000001,0.0
4.0,0.074,0.0
4.0,0.076,0.0
4.0,0.078,0.0
4.0,0.08,0.0
4.0,0.082,0.0
4.0,0.084,0.0
4.0,0.08600000000000001,0.0
4.0,0.088,0.0
4.0,0.09,0.0
4.0,0.092,0.0
4.0,0.094,0.0
4.0,0.096,0.0
4.0,0.098,0.0
4.0,0.1,0.0
4.0,0.10200000000000001,0.0
4.0,0.10400000000000001,0.0
4.0,0.106,0.0
4.0,0.108,0.0
4.0,0.11,0.0
4.0,0.112,0.0
4.0,0.114,3.5725541779732554e-10
4.0,0.116,8.568949061354541e-09
4.0,0.11800000000000001,9.889056325684342e-08
4.0,0.12,7.328999250309909e-07
4.0,0.122,3.93128483712438e-06
4.0,0.124,1.6325289500275725e-05
4.0,0.126,5.488544380638525e-05
4.0,0.128,0.00015445444019370847
4.0,0.13,0.0003737696526846657
4.0,0.132,0.0007959226986123093
4.0,0.134,0.0015218075848031029
4.0,0.136,0.0026591219107992446
4.0,0.138,0.0043112604210780395
4.0,0.14,0.006569054472594565
4.0,0.14200000000000002,0.009506028930820275
4.0,0.14400000000000002,0.013176600096257698
4.0,0.146,0.017616364662968353
4.0,0.148,0.022843686288532755
4.0,0.15,0.028861949216900586
4.0,0.152,0.03566204716857143
4.0,0.154,0.043224835953629255
4.0,0.156,0.051523393562903246
4.0,0.158,0.060525012998452074
4.0,0.16,0.07019290377638833
4.0,0.162,0.0804876082168325
4.0,0.164,0.09136815543700494
4.0,0.166,0.10279298334713713
4.0,0.168,0.11472066114074539
4.0,0.17,0.1271104437826281
4.0,0.17200000000000001,0.1399226873059549
4.0,0.17400000000000002,0.15311915040018068
4.0,0.176,0.16666320422192865
4.0,0.178,0.18051996898092182
4.0,0.18,0.1946563927745162
4.0,0.182,0.20904128542394163
4.0,0.184,0.22364531773416796
4.0,0.186,0.23844099461822427
4.0,0.188,0.2534026088745611
4.0,0.19,0.268506181037388
4.0,0.192,0.28372938959501665
4.0,0.194,0.29905149495487804
4.0,0.196,0.31445325978910044
4.0,0.198,0.3299168677943557
4.0,0.2,0.3454258424170821
4.0,0.202,0.36096496670948197
4.0,0.20400000000000001,0.3765202051748905
4.0,0.20600000000000002,0.3920786282180462
4.0,0.20800000000000002,0.40762833962466694
4.0,0.21,0.42315840734509086
4.0,0.212,0.4386587977406937
4.0,0.214,0.4541203133624911
4.0,0.216,0.46953453426344144
4.0,0.218,0.48489376279510615
4.0,0.22,0.5001909718019213
4.0,0.222,0.5154197560995974
4.0,0.224,0.5305742871057602
4.0,0.226,0.5456492704790645
4.0,0.228,0.5606399066161799
4.0,0.23,0.5755418538530864
4.0,0.232,0.5903511942171029
4.0,0.234,0.6050644015782572
4.0,0.23600000000000002,0.6196783120524063
4.0,0.23800000000000002,0.6341900965134754
4.0,0.24,0.6485972350779287
4.0,0.242,0.662897493430847
4.0,0.244,0.6770889008695402
4.0,0.246,0.6911697299472954
4.0,0.248,0.7051384776065397
4.0,0.25,0.718993847697275
4.0,0.252,0.7327347347830458
4.0,0.254,0.7463602091429058
4.0,0.256,0.7598695028837799
4.0,0.258,0.7732619970833041
4.0,0.26,0.786537209888595
4.0,0.262,0.7996947855015096
4.0,0.264,0.8127344839857572
4.0,0.266,0.8256561718357416
4.0,0.268,0.8384598132512574
4.0,0.27,0.8511454620661393
4.0,0.272,0.8637132542826671
4.0,0.274,0.8761634011670122
4.0,0.276,0.8884961828642317
4.0,0.278,0.9007119424943422
4.0,0.28,0.9128110806937978
4.0,0.28200000000000003,0.9247940505693187
4.0,0.28400000000000003,0.9366613530334285
4.0,0.28600000000000003,0.9484135324933197
4.0,0.28800000000000003,0.9600511728667555
4.0,0.29,0.9715748939006524
4.0,0.292,0.9829853477697953
4.0,0.294,0.9942832159347992
4.0,0.296,1.0054692062399857
4.0,0.298,1.0165440502332692
4.0,0.3,1.0275085006914868
4.0,0.302,1.038363329335828
4.0,0.304,1.049109324723165
4.0,0.306,1.059747290300144
4.0,0.308,1.0702780426078697
4.0,0.31,1.0807024096259283
4.0,0.312,1.0910212292453243
4.0,0.314,1.1012353478606929
4.0,0.316,1.111345619072864
4.0,0.318,1.1213529024935136
4.0,0.32,1.1312580626442643
4.0,0.322,1.1410619679431646
4.0,0.324,1.1507654897719934
4.0,0.326,1.1603695016183442
4.0,0.328,1.1698748782868709
4.0,0.33,1.179282495174522
4.0,0.332,1.1885932276049538
4.0,0.334,1.1978079502176848
4.0,0.336,1.2069275364078809
4.0,0.338,1.2159528578129684
4.0,0.34,1.2248847838425527
4.0,0.342,1.2337241812483914
4.0,0.34400000000000003,1.2424719137313973
4.0,0.34600000000000003,1.2511288415828945
4.0,0.34800000000000003,1.259695821357538
4.0,0.35000000000000003,1.2681737055755096
4.0,0.352,1.276563342451782
4.0,0.354,1.2848655756504044
4.0,0.356,1.293081244061915
4.0,0.358,1.301211181602128
4.0,0.36,1.3092562170306803
4.0,0.362,1.3172171737878282
4.0,0.364,1.3250948698481086
4.0,0.366,1.3328901175895864
4.0,0.368,1.3406037236774866
4.0,0.37,1.3482364889611205
4.0,0.372,1.3557892083830807
4.0,0.374,1.363262670899769
4.0,0.376,1.3706576594123743
4.0,0.378,1.3779749507075034
4.0,0.38,1.385215315406712
4.0,0.382,1.3923795179242415
4.0,0.384,1.3994683164323278
4.0,0.386,1.4064824628334853
4.0,0.388,1.413422702739216
4.0,0.39,1.4202897754546424
4.0,0.392,1.4270844139685863
4.0,0.394,1.4338073449486632
4.0,0.396,1.440459288740992
