condition,t,rt_corr_pdf
4.0,0.0,0.0
4.0,0.002,0.0
4.0,0.004,0.0
4.0,0.006,0.0
4.0,0.008,0.0
4.0,0.01,0.0
4.0,0.012,0.0
4.0,0.014,0.0
4.0,0.016,0.0
4.0,0.018000000000000002,0.0
4.0,0.02,0.0
4.0,0.022,0.0
4.0,0.024,0.0
4.0,0.026000000000000002,0.0
4.0,0.028,0.0
4.0,0.03,0.0
4.0,0.032,0.0
4.0,0.034,0.0
4.0,0.036000000000000004,0.0
4.0,0.038,0.0
4.0,0.04,0.0
4.0,0.042,0.0
4.0,0.044,0.0
4.0,0.046,0.0
4.0,0.048,0.0
4.0,0.05,0.0
4.0,0.052000000000000005,0.0
4.0,0.054,0.0
4.0,0.056,0.0
4.0,0.058,0.0
4.0,0.06,0.0
4.0,0.062,0.0
4.0,0.064,0.0
4.0,0.066,0.0
4.0,0.068,0.0
4.0,0.07,0.0
4.0,0.07200000000000001,0.0
4.0,0.074,0.0
4.0,0.076,0.0
4.0,0.078,0.0
4.0,0.08,0.0
4.0,0.082,0.0
4.0,0.084,0.0
4.0,0.08600000000000001,0.0
4.0,0.088,0.0
4.0,0.09,0.0
4.0,0.092,2.0121056559454144e-08
4.0,0.094,2.1750000867129665e-07
4.0,0.096,1.233866477035908e-06
4.0,0.098,4.896748530248613e-06
4.0,0.1,1.528904994404166e-05
4.0,0.10200000000000001,4.00428511188987e-05
4.0,0.10400000000000001,9.158894170823475e-05
4.0,0.106,0.00018806518531656928
4.0,0.108,0.0003536594730790179
4.0,0.11,0.0006188293828097251
4.0,0.112,0.0010192633334859488
4.0,0.114,0.001594060273620945
4.0,0.116,0.0023842534792815934
4.0,0.11800000000000001,0.003431138640903071
4.0,0.12,0.0047746256589530685
4.0,0.122,0.006451828874323584
4.0,0.124,0.008495961172356164
4.0,0.126,0.010937239526522355
4.0,0.128,0.013806431856399962
4.0,0.13,0.017123480554497254
4.0,0.132,0.020901440638666915
4.0,0.134,0.025148597770736168
4.0,0.136,0.029868483664895508
4.0,0.138,0.03506022222996329
4.0,0.14,0.04071898839347143
4.0,0.14200000000000002,0.046836509918960226
4.0,0.14400000000000002,0.053416212191731746
4.0,0.146,0.06045174381012685
4.0,0.148,0.06792543245029872
4.0,0.15,0.075817864623645
4.0,0.152,0.08410931471938841
4.0,0.154,0.09277950871283126
4.0,0.156,0.10180774515997257
4.0,0.158,0.11117308669842184
4.0,0.16,0.12085925846675728
4.0,0.162,0.13087108565768157
4.0,0.164,0.14118731455371544
4.0,0.166,0.15178123860920542
4.0,0.168,0.16262956610015034
4.0,0.17,0.17371068782276997
4.0,0.17200000000000001,0.18500419282652875
4.0,0.17400000000000002,0.1964906919523383
4.0,0.176,0.20815174229846883
4.0,0.178,0.2199882508293779
4.0,0.18,0.2320009631004366
4.0,0.182,0.2441687735945574
4.0,0.184,0.2564695168185121
4.0,0.186,0.268884754109066
4.0,0.188,0.2813980796156161
4.0,0.19,0.2939945386857702
4.0,0.192,0.30666035352488136
4.0,0.194,0.31938276501120916
4.0,0.196,0.3321804680870064
4.0,0.198,0.34504938803647167
4.0,0.2,0.35797043147390967
4.0,0.202,0.37092731498607856
4.0,0.20400000000000001,0.3839068904545072
4.0,0.20600000000000002,0.39689781157754245
4.0,0.20800000000000002,0.4098900112826832
4.0,0.21,0.4228744327158028
4.0,0.212,0.4358430516779263
4.0,0.214,0.4488266287815005
4.0,0.216,0.4618168181075982
4.0,0.218,0.47479648166267663
4.0,0.22,0.487753917643071
4.0,0.222,0.5006798785542845
4.0,0.224,0.5135666095842687
4.0,0.226,0.5264074158434745
4.0,0.228,0.5391964247995364
4.0,0.23,0.551933389135197
4.0,0.232,0.5646459553408072
4.0,0.234,0.5773270281590571
4.0,0.23600000000000002,0.5899627896710345
4.0,0.23800000000000002,0.6025442733907161
4.0,0.24,0.6150646942557536
4.0,0.242,0.6275185722023026
4.0,0.244,0.6399013333430652
4.0,0.246,0.6522090901226704
4.0,0.248,0.6644449229624694
4.0,0.25,0.6766348915201743
4.0,0.252,0.6887731243787169
4.0,0.254,0.7008479746013202
4.0,0.256,0.7128522356401344
4.0,0.258,0.7247806799260256
4.0,0.26,0.73662924539377
4.0,0.262,0.7483946642183541
4.0,0.264,0.7600742583643345
4.0,0.266,0.7716707234515469
4.0,0.268,0.7832105457783515
4.0,0.27,0.7946892680601632
4.0,0.272,0.8060965395344538
4.0,0.274,0.8174262397588026
4.0,0.276,0.8286741020453677
4.0,0.278,0.8398369324022383
4.0,0.28,0.8509122551124165
4.0,0.28200000000000003,0.8618981188195781
4.0,0.28400000000000003,0.8727939207302509
4.0,0.28600000000000003,0.88362853855962
4.0,0.28800000000000003,0.8943992202975395
4.0,0.29,0.9050962692162555
4.0,0.292,0.9157141955924541
4.0,0.294,0.9262493078431947
4.0,0.296,0.9366989335475813
4.0,0.298,0.9470610706896861
4.0,0.3,0.9573341990457858
4.0,0.302,0.9675171648033689
4.0,0.304,0.9776330016202804
4.0,0.306,0.9876848119486926
4.0,0.308,0.9976648099919536
4.0,0.31,1.0075674677823925
4.0,0.312,1.0173893097382656
4.0,0.314,1.0271279210543143
4.0,0.316,1.0367815535707836
4.0,0.318,1.0463489248526838
4.0,0.32,1.0558290996254112
4.0,0.322,1.0652358870769005
4.0,0.324,1.074580232681479
4.0,0.326,1.0838568399288586
4.0,0.328,1.0930597578394754
4.0,0.33,1.102185508899944
4.0,0.332,1.111231773673206
4.0,0.334,1.1201969229423272
4.0,0.336,1.1290797941315458
4.0,0.338,1.1378795648075608
4.0,0.34,1.146599877377187
4.0,0.342,1.1552602917614887
4.0,0.34400000000000003,1.1638582716826025
4.0,0.34600000000000003,1.1723872254182879
4.0,0.34800000000000003,1.1808435407591258
4.0,0.35000000000000003,1.1892248931694926
4.0,0.352,1.1975296889133502
4.0,0.354,1.2057568127756955
4.0,0.356,1.213905490684673
4.0,0.358,1.2219752054130246
4.0,0.36,1.2299814332711094
4.0,0.362,1.237929683847325
4.0,0.364,1.2458148657202073
4.0,0.366,1.253632667288421
4.0,0.368,1.2613805482748157
4.0,0.37,1.2690568360748047
4.0,0.372,1.2766603864608308
4.0,0.374,1.2841904162335493
4.0,0.376,1.291646406653356
4.0,0.378,1.2990312636215344
4.0,0.38,1.306361694030225
4.0,0.382,1.3136357875647744
4.0,0.384,1.320848151989009
4.0,0.386,1.327995886271372
4.0,0.388,1.3350771603065956
4.0,0.39,1.342090748837358
