condition,t,rt_corr_pdf
4.0,0.0,0.0
4.0,0.002,0.0
4.0,0.004,0.0
4.0,0.006,0.0
4.0,0.008,0.0
4.0,0.01,0.0
4.0,0.012,0.0
4.0,0.014,0.0
4.0,0.016,0.0
4.0,0.018000000000000002,0.0
4.0,0.02,0.0
4.0,0.022,0.0
4.0,0.024,0.0
4.0,0.026000000000000002,0.0
4.0,0.028,0.0
4.0,0.03,0.0
4.0,0.032,0.0
4.0,0.034,0.0
4.0,0.036000000000000004,0.0
4.0,0.038,0.0
4.0,0.04,0.0
4.0,0.042,0.0
4.0,0.044,0.0
4.0,0.046,0.0
4.0,0.048,0.0
4.0,0.05,0.0
4.0,0.052000000000000005,0.0
4.0,0.054,0.0
4.0,0.056,0.0
4.0,0.058,0.0
4.0,0.06,0.0
4.0,0.062,0.0
4.0,0.064,0.0
4.0,0.066,0.0
4.0,0.068,0.0
4.0,0.07,0.0
4.0,0.07200000000000001,0.0
4.0,0.074,0.0
4.0,0.076,0.0
4.0,0.078,0.0
4.0,0.08,0.0
4.0,0.082,0.0
4.0,0.084,0.0
4.0,0.08600000000000001,0.0
4.0,0.088,0.0
4.0,0.09,0.0
4.0,0.092,0.0
4.0,0.094,0.0
4.0,0.096,0.0
4.0,0.098,0.0
4.0,0.1,0.0
4.0,0.10200000000000001,0.0
4.0,0.10400000000000001,0.0
4.0,0.106,0.0
4.0,0.108,0.0
4.0,0.11,0.0
4.0,0.112,0.0
4.0,0.114,0.0
4.0,0.116,0.0
4.0,0.11800000000000001,0.0
4.0,0.12,0.0
4.0,0.122,0.0
4.0,0.124,0.0
4.0,0.126,0.0
4.0,0.128,0.0
4.0,0.13,0.0
4.0,0.132,4.5111744691542585e-05
4.0,0.134,0.0003064510616486174
4.0,0.136,0.0011285476266761237
4.0,0.138,0.0029998787453190197
4.0,0.14,0.006464157609708722
4.0,0.14200000000000002,0.01201976445207791
4.0,0.14400000000000002,0.02004530317784568
4.0,0.146,0.030765146719244553
4.0,0.148,0.044250021176225354
4.0,0.15,0.06043981090152456
4.0,0.152,0.07917594705309629
4.0,0.154,0.10023440591896322
4.0,0.156,0.12335437198790758
4.0,0.158,0.1482606709248003
4.0,0.16,0.17467992795058834
4.0,0.162,0.2023513088118931
4.0,0.164,0.2310329967951201
4.0,0.166,0.2605055300258812
4.0,0.168,0.29057295271132016
4.0,0.17,0.32106252627861825
4.0,0.17200000000000001,0.3518235522693342
4.0,0.17400000000000002,0.38272569785649085
4.0,0.176,0.4136732236784713
4.0,0.178,0.44459315335483723
4.0,0.18,0.4753999091717309
4.0,0.182,0.5060172432033895
4.0,0.184,0.5363833409930621
4.0,0.186,0.5664474208476914
4.0,0.188,0.5961678013290337
4.0,0.19,0.6255104720602385
4.0,0.192,0.6544479363828565
4.0,0.194,0.6829582416532926
4.0,0.196,0.7110241555041166
4.0,0.198,0.7386324620992962
4.0,0.2,0.7657733595469848
4.0,0.202,0.7924399435663941
4.0,0.20400000000000001,0.8186277650685299
4.0,0.20600000000000002,0.8443344512007714
4.0,0.20800000000000002,0.8695593809118113
4.0,0.21,0.8943034073473498
4.0,0.212,0.918568620454028
4.0,0.214,0.9423581440866902
4.0,0.216,0.9656759627066345
4.0,0.218,0.9885267734439019
4.0,0.22,1.010934983437986
4.0,0.222,1.032914034254807
4.0,0.224,1.0544641068710128
4.0,0.226,1.0755862205735354
4.0,0.228,1.0962837227937678
4.0,0.23,1.116561109607903
4.0,0.232,1.1364235720761917
4.0,0.234,1.1558767635932943
4.0,0.23600000000000002,1.1749266593526986
4.0,0.23800000000000002,1.1935794622466096
4.0,0.24,1.211841535436644
4.0,0.242,1.229719351769117
4.0,0.244,1.2472194546108553
4.0,0.246,1.2643484268540879
4.0,0.248,1.2811128660071964
4.0,0.25,1.2975193639621432
4.0,0.252,1.313574490442013
4.0,0.254,1.3292847793978324
4.0,0.256,1.3446567178025275
4.0,0.258,1.3596967364146855
4.0,0.26,1.3744112021748018
4.0,0.262,1.3888064119634684
4.0,0.264,1.4029025493163416
4.0,0.266,1.4167084630956612
4.0,0.268,1.4302259991037847
4.0,0.27,1.4434579519123962
4.0,0.272,1.4564081950986771
4.0,0.274,1.469081075058967
4.0,0.276,1.4814811802743943
4.0,0.278,1.493613228727031
4.0,0.28,1.5054820044896415
4.0,0.28200000000000003,1.517092318477951
4.0,0.28400000000000003,1.528448982491172
4.0,0.28600000000000003,1.5395567911896701
4.0,0.28800000000000003,1.550420509125278
4.0,0.29,1.5610448611558283
4.0,0.292,1.571434525222714
4.0,0.294,1.5815941268365497
4.0,0.296,1.5915282348339213
4.0,0.298,1.6012413581034872
4.0,0.3,1.6107379430667033
4.0,0.302,1.6200223717562396
4.0,0.304,1.629098960374632
4.0,0.306,1.6379719582433663
4.0,0.308,1.646653588879811
4.0,0.31,1.6551501532363182
4.0,0.312,1.6634632215967282
4.0,0.314,1.671594753323917
4.0,0.316,1.6795473936610197
4.0,0.318,1.6873240768817663
4.0,0.32,1.6949278789410414
4.0,0.322,1.702361946765924
4.0,0.324,1.7096294589749341
4.0,0.326,1.7167336018744601
4.0,0.328,1.7236775537817786
4.0,0.33,1.7304644742812412
4.0,0.332,1.7370974965966701
4.0,0.334,1.7435797220354725
4.0,0.336,1.7499142158689476
4.0,0.338,1.7561040042435692
4.0,0.34,1.7621520718543937
4.0,0.342,1.7680613601959938
4.0,0.34400000000000003,1.7738347662602474
4.0,0.34600000000000003,1.779475141585965
4.0,0.34800000000000003,1.7849852915895728
4.0,0.35000000000000003,1.7903679751229722
4.0,0.352,1.7956293481003718
4.0,0.354,1.8007748511203951
4.0,0.356,1.8058059214822944
4.0,0.358,1.8107237392804636
4.0,0.36,1.8155299972288805
4.0,0.362,1.8202265899245635
4.0,0.364,1.8248155065795788
4.0,0.366,1.8292987817279214
4.0,0.368,1.833678468622129
4.0,0.37,1.8379566233177593
4.0,0.372,1.8421352944525213
4.0,0.374,1.846216516341786
4.0,0.376,1.8502023041408655
4.0,0.378,1.8540946503663314
4.0,0.38,1.8578955223509255
4.0,0.382,1.861606860363464
4.0,0.384,1.8652305762170187
4.0,0.386,1.8687685522448614
4.0,0.388,1.8722226405593771
4.0,0.39,1.8755946625325948
4.0,0.392,1.8788864084528147
4.0,0.394,1.8820996373228267
4.0,0.396,1.885236605800842
4.0,0.398,1.8883022205140745
4.0,0.4,1.891297791753235
4.0,0.402,1.8942239413005255
4.0,0.404,1.8970817037646184
