tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,2.70205704474593e-32
4.0,90.0,0.002,2.2566490765195585e-30
4.0,90.0,0.004,9.312189947827295e-29
4.0,90.0,0.006,2.5316243575476715e-27
4.0,90.0,0.008,5.1011373801614815e-26
4.0,90.0,0.01,8.126397239063936e-25
4.0,90.0,0.012,1.066208230836281e-23
4.0,90.0,0.014,1.1851181342929845e-22
4.0,90.0,0.016,1.139325738330759e-21
4.0,90.0,0.018000000000000002,9.624652828056258e-21
4.0,90.0,0.02,7.234730143449122e-20
4.0,90.0,0.022,4.8886475948301175e-19
4.0,90.0,0.024,2.9947693917527965e-18
4.0,90.0,0.026000000000000002,1.675171360099094e-17
4.0,90.0,0.028,8.608993247247907e-17
4.0,90.0,0.03,4.0867275717474016e-16
4.0,90.0,0.032,1.800481021985778e-15
4.0,90.0,0.034,7.393149115628803e-15
4.0,90.0,0.036000000000000004,2.8402515688577098e-14
4.0,90.0,0.038,1.0244260606379266e-13
4.0,90.0,0.04,3.4800685592394135e-13
4.0,90.0,0.042,1.1167661270932194e-12
4.0,90.0,0.044,3.394696265566147e-12
4.0,90.0,0.046,9.800021218896032e-12
4.0,90.0,0.048,2.6933964679868778e-11
4.0,90.0,0.05,7.06359118948087e-11
4.0,90.0,0.052000000000000005,1.771574502520942e-10
4.0,90.0,0.054,4.2580971167444714e-10
4.0,90.0,0.056,9.828084740111213e-10
4.0,90.0,0.058,2.18252251135184e-09
4.0,90.0,0.06,4.671874824257599e-09
4.0,90.0,0.062,9.656971671002372e-09
4.0,90.0,0.064,1.930867543031142e-08
4.0,90.0,0.066,3.740597102553147e-08
4.0,90.0,0.068,7.032225268515929e-08
4.0,90.0,0.07,1.2848907949068886e-07
4.0,90.0,0.07200000000000001,2.285028229200908e-07
4.0,90.0,0.074,3.960696326884778e-07
4.0,90.0,0.076,6.700104869332167e-07
4.0,90.0,0.078,1.1075677660010691e-06
4.0,90.0,0.08,1.7912648908113235e-06
4.0,90.0,0.082,2.8375686095986796e-06
4.0,90.0,0.084,4.4075877145896654e-06
4.0,90.0,0.08600000000000001,6.720011448204207e-06
4.0,90.0,0.088,1.0066445766591362e-05
4.0,90.0,0.09,1.4829247148320569e-05
4.0,90.0,0.092,2.150188388914329e-05
4.0,90.0,0.094,3.071177669775758e-05
4.0,90.0,0.096,4.3245487328116084e-05
4.0,90.0,0.098,6.007603965825452e-05
4.0,90.0,0.1,8.239207578571086e-05
4.0,90.0,0.10200000000000001,0.0001116284738766444
4.0,90.0,0.10400000000000001,0.00014949798779389576
4.0,90.0,0.106,0.0001980234134975996
4.0,90.0,0.108,0.00025956974576968404
4.0,90.0,0.11,0.0003368757621763874
4.0,90.0,0.112,0.0004330844598763898
4.0,90.0,0.114,0.0005517717747838296
4.0,90.0,0.116,0.0006969730310067735
4.0,90.0,0.11800000000000001,0.0008732066002201603
4.0,90.0,0.12,0.001085494294135053
4.0,90.0,0.122,0.0013393780666575723
