tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,0.0
4.0,90.0,0.002,0.0
4.0,90.0,0.004,0.0
4.0,90.0,0.006,0.0
4.0,90.0,0.008,0.0
4.0,90.0,0.01,0.0
4.0,90.0,0.012,0.0
4.0,90.0,0.014,0.0
4.0,90.0,0.016,0.0
4.0,90.0,0.018000000000000002,0.0
4.0,90.0,0.02,0.0
4.0,90.0,0.022,0.0
4.0,90.0,0.024,0.0
4.0,90.0,0.026000000000000002,0.0
4.0,90.0,0.028,0.0
4.0,90.0,0.03,0.0
4.0,90.0,0.032,0.0
4.0,90.0,0.034,0.0
4.0,90.0,0.036000000000000004,0.0
4.0,90.0,0.038,0.0
4.0,90.0,0.04,0.0
4.0,90.0,0.042,0.0
4.0,90.0,0.044,0.0
4.0,90.0,0.046,0.0
4.0,90.0,0.048,0.0
4.0,90.0,0.05,0.0
4.0,90.0,0.052000000000000005,0.0
4.0,90.0,0.054,0.0
4.0,90.0,0.056,0.0
4.0,90.0,0.058,0.0
4.0,90.0,0.06,0.0
4.0,90.0,0.062,0.0
4.0,90.0,0.064,0.0
4.0,90.0,0.066,0.0
4.0,90.0,0.068,0.0
4.0,90.0,0.07,0.0
4.0,90.0,0.07200000000000001,0.0
4.0,90.0,0.074,0.0
4.0,90.0,0.076,0.0
4.0,90.0,0.078,0.0
4.0,90.0,0.08,0.0
4.0,90.0,0.082,0.0
4.0,90.0,0.084,0.0
4.0,90.0,0.08600000000000001,0.0
4.0,90.0,0.088,0.0
4.0,90.0,0.09,0.0
4.0,90.0,0.092,0.0
4.0,90.0,0.094,0.0
4.0,90.0,0.096,0.0
4.0,90.0,0.098,0.0
4.0,90.0,0.1,0.0
4.0,90.0,0.10200000000000001,0.0
4.0,90.0,0.10400000000000001,0.0
4.0,90.0,0.106,0.0
4.0,90.0,0.108,0.0
4.0,90.0,0.11,0.0
4.0,90.0,0.112,0.0
4.0,90.0,0.114,0.0
4.0,90.0,0.116,0.0
4.0,90.0,0.11800000000000001,0.0
4.0,90.0,0.12,0.0
4.0,90.0,0.122,0.0
4.0,90.0,0.124,0.0
4.0,90.0,0.126,0.0
4.0,90.0,0.128,0.0
4.0,90.0,0.13,0.0
4.0,90.0,0.132,0.0
4.0,90.0,0.134,0.0
4.0,90.0,0.136,0.0
4.0,90.0,0.138,0.0
4.0,90.0,0.14,0.0
4.0,90.0,0.14200000000000002,0.0
4.0,90.0,0.14400000000000002,0.0
4.0,90.0,0.146,0.0
4.0,90.0,0.148,0.0
4.0,90.0,0.15,0.0
4.0,90.0,0.152,0.0
4.0,90.0,0.154,0.0
4.0,90.0,0.156,0.0
4.0,90.0,0.158,0.0
4.0,90.0,0.16,0.0
4.0,90.0,0.162,0.0
4.0,90.0,0.164,0.0
4.0,90.0,0.166,0.0
4.0,90.0,0.168,0.0
4.0,90.0,0.17,0.0
4.0,90.0,0.17200000000000001,0.0
4.0,90.0,0.17400000000000002,0.0
4.0,90.0,0.176,0.0
4.0,90.0,0.178,0.0
4.0,90.0,0.18,0.0
4.0,90.0,0.182,0.0
4.0,90.0,0.184,0.0
4.0,90.0,0.186,0.0
4.0,90.0,0.188,0.0
4.0,90.0,0.19,0.0
4.0,90.0,0.192,0.0
4.0,90.0,0.194,0.0
4.0,90.0,0.196,0.0
4.0,90.0,0.198,0.0
4.0,90.0,0.2,0.0
4.0,90.0,0.202,0.0
4.0,90.0,0.20400000000000001,0.0
4.0,90.0,0.20600000000000002,0.0
4.0,90.0,0.20800000000000002,0.0
4.0,90.0,0.21,0.0
4.0,90.0,0.212,0.0
4.0,90.0,0.214,0.0
4.0,90.0,0.216,0.0
4.0,90.0,0.218,0.0
4.0,90.0,0.22,0.0
4.0,90.0,0.222,0.0
4.0,90.0,0.224,0.0
4.0,90.0,0.226,0.0
4.0,90.0,0.228,0.0
4.0,90.0,0.23,0.0
4.0,90.0,0.232,0.0
4.0,90.0,0.234,0.0
4.0,90.0,0.23600000000000002,0.0
4.0,90.0,0.23800000000000002,0.0
4.0,90.0,0.24,0.0
4.0,90.0,0.242,0.0
4.0,90.0,0.244,4.469020028224231e-12
4.0,90.0,0.246,1.5019558494409532e-10
4.0,90.0,0.248,2.449748474254948e-09
4.0,90.0,0.25,2.585687125850308e-08
4.0,90.0,0.252,1.9874741232410491e-07
4.0,90.0,0.254,1.187341810338245e-06
4.0,90.0,0.256,5.748100091169641e-06
4.0,90.0,0.258,2.3224942397219262e-05
4.0,90.0,0.26,8.00936860501948e-05
4.0,90.0,0.262,0.00024004753422279934
4.0,90.0,0.264,0.0006348725943342387
4.0,90.0,0.266,0.0015017686945726129
4.0,90.0,0.268,0.0032160804241713093
4.0,90.0,0.27,0.006305397288757176
4.0,90.0,0.272,0.01143517919165481
4.0,90.0,0.274,0.019365927081495204
4.0,90.0,0.276,0.030891617800244717
4.0,90.0,0.278,0.04677348708780659
4.0,90.0,0.28,0.06768154695598835
4.0,90.0,0.28200000000000003,0.09415130351587671
4.0,90.0,0.28400000000000003,0.12655812260782262
4.0,90.0,0.28600000000000003,0.1651081098400218
4.0,90.0,0.28800000000000003,0.20984242049377075
4.0,90.0,0.29,0.260651241783091
4.0,90.0,0.292,0.3172938371392751
4.0,90.0,0.294,0.37942160986712936
4.0,90.0,0.296,0.44660185468919406
4.0,90.0,0.298,0.5183405588496393
4.0,90.0,0.3,0.5941032093905901
4.0,90.0,0.302,0.6733330324696966
4.0,90.0,0.304,0.7554664366449764
4.0,90.0,0.306,0.8399456712471479
4.0,90.0,0.308,0.9262288644569758
4.0,90.0,0.31,1.0137976943967486
4.0,90.0,0.312,1.1021629885987652
4.0,90.0,0.314,1.1908685573661442
4.0,90.0,0.316,1.2794935561095255
4.0,90.0,0.318,1.3676536490532722
4.0,90.0,0.32,1.4550012176571185
4.0,90.0,0.322,1.5412248257023617
4.0,90.0,0.324,1.626048121845847
4.0,90.0,0.326,1.7092283311317509
4.0,90.0,0.328,1.790554460337081
4.0,90.0,0.33,1.8698453184955277
4.0,90.0,0.332,1.946947433563768
4.0,90.0,0.334,2.0217329288380763
4.0,90.0,0.336,2.0940974081593953
4.0,90.0,0.338,2.1639578868700955
4.0,90.0,0.34,2.2312507955963063
4.0,90.0,0.342,2.2959300759229038
4.0,90.0,0.34400000000000003,2.3579653806205787
4.0,90.0,0.34600000000000003,2.417340386019079
4.0,90.0,0.34800000000000003,2.474051220170696
4.0,90.0,0.35000000000000003,2.5281050074158604
4.0,90.0,0.352,2.579518527679356
4.0,90.0,0.354,2.6283169871474987
4.0,90.0,0.356,2.674532895783986
4.0,90.0,0.358,2.7182050463346936
4.0,90.0,0.36,2.759377588967137
4.0,90.0,0.362,2.7980991954210483
4.0,90.0,0.364,2.8344223064577685
4.0,90.0,0.366,2.8684024564430897
4.0,90.0,0.368,2.900097669045459
4.0,90.0,0.37,2.9295679182506404
4.0,90.0,0.372,2.956874649162332
4.0,90.0,0.374,2.9820803533585
4.0,90.0,0.376,3.005248193891432
4.0,90.0,0.378,3.026441675345495
4.0,90.0,0.38,3.0457243546921933
4.0,90.0,0.382,3.063159589001648
4.0,90.0,0.384,3.078810316378769
4.0,90.0,0.386,3.0927388667882565
4.0,90.0,0.388,3.105006799713254
4.0,90.0,0.39,3.11567476585666
4.0,90.0,0.392,3.1248023903415767
4.0,90.0,0.394,3.1324481750975957
4.0,90.0,0.396,3.138669418333166
4.0,90.0,0.398,3.1435221491915386
4.0,90.0,0.4,3.14706107586929
4.0,90.0,0.402,3.149339545643071
4.0,90.0,0.404,3.150409515402836
4.0,90.0,0.406,3.1503215314291797
4.0,90.0,0.40800000000000003,3.1491247172795065
4.0,90.0,0.41000000000000003,3.1468667687634184
4.0,90.0,0.41200000000000003,3.14359395509282
4.0,90.0,0.41400000000000003,3.1393511253875226
4.0,90.0,0.41600000000000004,3.134181719803587
4.0,90.0,0.418,3.1281277846298026
4.0,90.0,0.42,3.1212299907682444
4.0,90.0,0.422,3.1135276550788156
4.0,90.0,0.424,3.105058764125043
4.0,90.0,0.426,3.0958599999103398
4.0,90.0,0.428,3.0859667672405067
4.0,90.0,0.43,3.075413222390261
4.0,90.0,0.432,3.064232302789308
4.0,90.0,0.434,3.0524557574771918
4.0,90.0,0.436,3.0401141781066254
4.0,90.0,0.438,3.0272370303021465
4.0,90.0,0.44,3.013852685205325
4.0,90.0,0.442,2.999988451059405
4.0,90.0,0.444,2.985670604705888
