tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,0.0
4.0,90.0,0.002,0.0
4.0,90.0,0.004,0.0
4.0,90.0,0.006,0.0
4.0,90.0,0.008,0.0
4.0,90.0,0.01,0.0
4.0,90.0,0.012,0.0
4.0,90.0,0.014,0.0
4.0,90.0,0.016,0.0
4.0,90.0,0.018000000000000002,0.0
4.0,90.0,0.02,0.0
4.0,90.0,0.022,0.0
4.0,90.0,0.024,0.0
4.0,90.0,0.026000000000000002,0.0
4.0,90.0,0.028,0.0
4.0,90.0,0.03,0.0
4.0,90.0,0.032,0.0
4.0,90.0,0.034,0.0
4.0,90.0,0.036000000000000004,0.0
4.0,90.0,0.038,0.0
4.0,90.0,0.04,0.0
4.0,90.0,0.042,0.0
4.0,90.0,0.044,0.0
4.0,90.0,0.046,0.0
4.0,90.0,0.048,0.0
4.0,90.0,0.05,0.0
4.0,90.0,0.052000000000000005,0.0
4.0,90.0,0.054,0.0
4.0,90.0,0.056,0.0
4.0,90.0,0.058,0.0
4.0,90.0,0.06,0.0
4.0,90.0,0.062,0.0
4.0,90.0,0.064,0.0
4.0,90.0,0.066,0.0
4.0,90.0,0.068,0.0
4.0,90.0,0.07,0.0
4.0,90.0,0.07200000000000001,0.0
4.0,90.0,0.074,0.0
4.0,90.0,0.076,0.0
4.0,90.0,0.078,0.0
4.0,90.0,0.08,0.0
4.0,90.0,0.082,0.0
4.0,90.0,0.084,0.0
4.0,90.0,0.08600000000000001,0.0
4.0,90.0,0.088,0.0
4.0,90.0,0.09,0.0
4.0,90.0,0.092,0.0
4.0,90.0,0.094,0.0
4.0,90.0,0.096,0.0
4.0,90.0,0.098,0.0
4.0,90.0,0.1,0.0
4.0,90.0,0.10200000000000001,0.0
4.0,90.0,0.10400000000000001,0.0
4.0,90.0,0.106,0.0
4.0,90.0,0.108,0.0
4.0,90.0,0.11,0.0
4.0,90.0,0.112,0.0
4.0,90.0,0.114,1.1668768002461605e-11
4.0,90.0,0.116,3.2863716006184217e-10
4.0,90.0,0.11800000000000001,4.4770434079893594e-09
4.0,90.0,0.12,3.936015521794528e-08
4.0,90.0,0.122,2.5149722626541e-07
4.0,90.0,0.124,1.24784347495753e-06
4.0,90.0,0.126,5.019549004621142e-06
4.0,90.0,0.128,1.6888961553823196e-05
4.0,90.0,0.13,4.870692565346549e-05
4.0,90.0,0.132,0.00012287187824918858
4.0,90.0,0.134,0.00027595296319724634
4.0,90.0,0.136,0.00056042901163246
4.0,90.0,0.138,0.0010436703732137767
4.0,90.0,0.14,0.0018043992954935497
4.0,90.0,0.14200000000000002,0.002927684807463448
4.0,90.0,0.14400000000000002,0.004499665917264387
4.0,90.0,0.146,0.0066028626995058275
4.0,90.0,0.148,0.009312511849371286
4.0,90.0,0.15,0.012694043452796202
4.0,90.0,0.152,0.016801619391310498
4.0,90.0,0.154,0.02167755632411781
4.0,90.0,0.156,0.027352427396944497
4.0,90.0,0.158,0.03384564671928789
4.0,90.0,0.16,0.04116636853896759
4.0,90.0,0.162,0.04931456691988653
4.0,90.0,0.164,0.05828219453838322
4.0,90.0,0.166,0.06805434775839139
4.0,90.0,0.168,0.0786103884503443
4.0,90.0,0.17,0.08992499111779323
4.0,90.0,0.17200000000000001,0.10196909742792476
4.0,90.0,0.17400000000000002,0.11471077000791516
4.0,90.0,0.176,0.12811594415053182
4.0,90.0,0.178,0.14214908058193323
4.0,90.0,0.18,0.15677372526450378
4.0,90.0,0.182,0.17195298380575055
4.0,90.0,0.184,0.18764991878381193
4.0,90.0,0.186,0.2038278784525872
4.0,90.0,0.188,0.22045076505759564
4.0,90.0,0.19,0.23748325052318056
4.0,90.0,0.192,0.25489094666630485
4.0,90.0,0.194,0.27264053642411507
4.0,90.0,0.196,0.2906998719000502
4.0,90.0,0.198,0.3090380443683112
4.0,90.0,0.2,0.327625430748404
4.0,90.0,0.202,0.34643372048123405
4.0,90.0,0.20400000000000001,0.3654359262110025
4.0,90.0,0.20600000000000002,0.3846063812041397
4.0,90.0,0.20800000000000002,0.40392072601638457
4.0,90.0,0.21,0.4233558865489865
4.0,90.0,0.212,0.44289004531111464
4.0,90.0,0.214,0.46250260742371946
4.0,90.0,0.216,0.4821741626560369
4.0,90.0,0.218,0.5018864445754923
4.0,90.0,0.22,0.5216222877109868
4.0,90.0,0.222,0.5413655834748118
4.0,90.0,0.224,0.5611012354563858
4.0,90.0,0.226,0.5808151145886953
4.0,90.0,0.228,0.6004940145930401
4.0,90.0,0.23,0.620125608027146
4.0,90.0,0.232,0.6396984031937802
4.0,90.0,0.234,0.6592017021099713
4.0,90.0,0.23600000000000002,0.678625559689131
4.0,90.0,0.23800000000000002,0.6979607442485349
4.0,90.0,0.24,0.7171986994215008
4.0,90.0,0.242,0.7363315075262309
4.0,90.0,0.244,0.7553518544207775
4.0,90.0,0.246,0.7742529958552011
4.0,90.0,0.248,0.7930287253170808
4.0,90.0,0.25,0.8116733433545652
4.0,90.0,0.252,0.8301816283516386
4.0,90.0,0.254,0.8485488087228407
4.0,90.0,0.256,0.8667705364889651
4.0,90.0,0.258,0.8848428621909943
4.0,90.0,0.26,0.9027622110964599
4.0,90.0,0.262,0.9205253606503295
4.0,90.0,0.264,0.9381294191212629
4.0,90.0,0.266,0.9555718053934744
4.0,90.0,0.268,0.9728502298543852
4.0,90.0,0.27,0.9899626763286197
4.0,90.0,0.272,1.0069073850096386
4.0,90.0,0.274,1.0236828363412829
4.0,90.0,0.276,1.0402877358027363
4.0,90.0,0.278,1.0567209995517628
4.0,90.0,0.28,1.0729817408825797
4.0,90.0,0.28200000000000003,1.0890692574562926
4.0,90.0,0.28400000000000003,1.1049830192634302
4.0,90.0,0.28600000000000003,1.1207226572797893
4.0,90.0,0.28800000000000003,1.1362879527784304
4.0,90.0,0.29,1.1516788272623406
4.0,90.0,0.292,1.1668953329838976
4.0,90.0,0.294,1.181937644018873
4.0,90.0,0.296,1.1968060478642781
4.0,90.0,0.298,1.2115009375308774
4.0,90.0,0.3,1.226022804102661
4.0,90.0,0.302,1.2403722297369937
4.0,90.0,0.304,1.2545498810805211
4.0,90.0,0.306,1.2685565030772314
4.0,90.0,0.308,1.2823929131463248
4.0,90.0,0.31,1.2960599957087438
4.0,90.0,0.312,1.3095586970423745
4.0,90.0,0.314,1.3228900204470104
4.0,90.0,0.316,1.3360550217012246
4.0,90.0,0.318,1.3490548047942785
4.0,90.0,0.32,1.3618905179171432
4.0,90.0,0.322,1.3745633496975922
4.0,90.0,0.324,1.3870745256651884
4.0,90.0,0.326,1.3994253049327732
4.0,90.0,0.328,1.411616977081834
4.0,90.0,0.33,1.4236508592398518
4.0,90.0,0.332,1.4355282933383962
4.0,90.0,0.334,1.4472506435413939
4.0,90.0,0.336,1.4588192938335913
4.0,90.0,0.338,1.4702356457598216
4.0,90.0,0.34,1.4815011163062088
4.0,90.0,0.342,1.4926171359149785
4.0,90.0,0.34400000000000003,1.5035851466249994
4.0,90.0,0.34600000000000003,1.5144066003306662
4.0,90.0,0.34800000000000003,1.525082957152138
4.0,90.0,0.35000000000000003,1.5356156839103683
4.0,90.0,0.352,1.5460062527007403
4.0,90.0,0.354,1.55625613955948
4.0,90.0,0.356,1.566366823217364
4.0,90.0,0.358,1.5763397839355486
4.0,90.0,0.36,1.5861765024186725
4.0,90.0,0.362,1.595878458800632
4.0,90.0,0.364,1.605447131698738
4.0,90.0,0.366,1.6148839973321791
4.0,90.0,0.368,1.6241905287009846
4.0,90.0,0.37,1.6333681948218732
4.0,90.0,0.372,1.6424184600176168
4.0,90.0,0.374,1.6513427832567202
4.0,90.0,0.376,1.6601426175404215
4.0,90.0,0.378,1.6688194093341837
4.0,90.0,0.38,1.6773745980410233
4.0,90.0,0.382,1.6858096155141682
4.0,90.0,0.384,1.69412588560669
4.0,90.0,0.386,1.7023248237558946
4.0,90.0,0.388,1.7104078366003788
4.0,90.0,0.39,1.7183763216277943
4.0,90.0,0.392,1.7262316668514597
4.0,90.0,0.394,1.7339752505140893
4.0,90.0,0.396,1.7416084408169932
4.0,90.0,0.398,1.749132595673206
4.0,90.0,0.4,1.756549062483097
4.0,90.0,0.402,1.76385917793109
4.0,90.0,0.404,1.7710642678022015
4.0,90.0,0.406,1.778165646817202
4.0,90.0,0.40800000000000003,1.7851646184852412
4.0,90.0,0.41000000000000003,1.7920624749728753
4.0,90.0,0.41200000000000003,1.798860496988483
