tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,0.0
4.0,90.0,0.002,0.0
4.0,90.0,0.004,0.0
4.0,90.0,0.006,0.0
4.0,90.0,0.008,0.0
4.0,90.0,0.01,0.0
4.0,90.0,0.012,0.0
4.0,90.0,0.014,0.0
4.0,90.0,0.016,0.0
4.0,90.0,0.018000000000000002,0.0
4.0,90.0,0.02,0.0
4.0,90.0,0.022,0.0
4.0,90.0,0.024,0.0
4.0,90.0,0.026000000000000002,0.0
4.0,90.0,0.028,0.0
4.0,90.0,0.03,0.0
4.0,90.0,0.032,0.0
4.0,90.0,0.034,0.0
4.0,90.0,0.036000000000000004,0.0
4.0,90.0,0.038,0.0
4.0,90.0,0.04,0.0
4.0,90.0,0.042,0.0
4.0,90.0,0.044,0.0
4.0,90.0,0.046,0.0
4.0,90.0,0.048,0.0
4.0,90.0,0.05,0.0
4.0,90.0,0.052000000000000005,0.0
4.0,90.0,0.054,0.0
4.0,90.0,0.056,0.0
4.0,90.0,0.058,0.0
4.0,90.0,0.06,0.0
4.0,90.0,0.062,0.0
4.0,90.0,0.064,0.0
4.0,90.0,0.066,0.0
4.0,90.0,0.068,0.0
4.0,90.0,0.07,0.0
4.0,90.0,0.07200000000000001,0.0
4.0,90.0,0.074,0.0
4.0,90.0,0.076,0.0
4.0,90.0,0.078,0.0
4.0,90.0,0.08,0.0
4.0,90.0,0.082,0.0
4.0,90.0,0.084,0.0
4.0,90.0,0.08600000000000001,0.0
4.0,90.0,0.088,0.0
4.0,90.0,0.09,0.0
4.0,90.0,0.092,0.0
4.0,90.0,0.094,0.0
4.0,90.0,0.096,0.0
4.0,90.0,0.098,0.0
4.0,90.0,0.1,0.0
4.0,90.0,0.10200000000000001,1.965296074387951e-08
4.0,90.0,0.10400000000000001,2.18471614882721e-07
4.0,90.0,0.106,1.2724040623377715e-06
4.0,90.0,0.108,5.175641184533835e-06
4.0,90.0,0.11,1.6536139856123473e-05
4.0,90.0,0.112,4.4248290803440255e-05
4.0,90.0,0.114,0.00010324727944329432
4.0,90.0,0.116,0.00021596437857234287
4.0,90.0,0.11800000000000001,0.0004131433764599831
4.0,90.0,0.12,0.0007348495261399659
4.0,90.0,0.122,0.0012287014337360761
4.0,90.0,0.124,0.0019482773980627067
4.0,90.0,0.126,0.002951160260581913
4.0,90.0,0.128,0.004296539808229442
4.0,90.0,0.13,0.006042803431338257
4.0,90.0,0.132,0.008245343391632206
4.0,90.0,0.134,0.010954720664773853
4.0,90.0,0.136,0.014223976076923548
4.0,90.0,0.138,0.018096202908359452
4.0,90.0,0.14,0.02260250638333916
4.0,90.0,0.14200000000000002,0.027765744780497273
4.0,90.0,0.14400000000000002,0.03360108454821566
4.0,90.0,0.146,0.040116137327096894
4.0,90.0,0.148,0.04731143497976676
4.0,90.0,0.15,0.05518107130075697
4.0,90.0,0.152,0.06372965039591512
4.0,90.0,0.154,0.07295700504786898
4.0,90.0,0.156,0.08284153478988987
4.0,90.0,0.158,0.09335606243296157
4.0,90.0,0.16,0.1044719752682375
4.0,90.0,0.162,0.1161588836263061
4.0,90.0,0.164,0.12838491646821767
4.0,90.0,0.166,0.14111713663378753
4.0,90.0,0.168,0.15433386115389
4.0,90.0,0.17,0.16803655291888112
4.0,90.0,0.17200000000000001,0.18218948389029588
4.0,90.0,0.17400000000000002,0.1967505183940916
4.0,90.0,0.176,0.21168180144021778
4.0,90.0,0.178,0.22694763373844634
4.0,90.0,0.18,0.24251393067630284
4.0,90.0,0.182,0.2583480650560301
4.0,90.0,0.184,0.2744188281383144
4.0,90.0,0.186,0.29074698302108054
4.0,90.0,0.188,0.3073088400593792
4.0,90.0,0.19,0.3240649180561332
4.0,90.0,0.192,0.3409814993140885
4.0,90.0,0.194,0.3580289414277833
4.0,90.0,0.196,0.3751802899373145
4.0,90.0,0.198,0.39241072080931055
4.0,90.0,0.2,0.40969725042368543
4.0,90.0,0.202,0.42704689962149167
4.0,90.0,0.20400000000000001,0.4444699536422471
4.0,90.0,0.20600000000000002,0.46193915332189645
4.0,90.0,0.20800000000000002,0.47942533588262487
4.0,90.0,0.21,0.4969054021919652
4.0,90.0,0.212,0.5143595242584573
4.0,90.0,0.214,0.531770163428317
4.0,90.0,0.216,0.5491215937938948
4.0,90.0,0.218,0.5663996205524295
4.0,90.0,0.22,0.583648580449263
4.0,90.0,0.222,0.6008551870722398
4.0,90.0,0.224,0.6179933728604774
4.0,90.0,0.226,0.6350446257282779
4.0,90.0,0.228,0.6519942056943394
4.0,90.0,0.23,0.6688297330305885
4.0,90.0,0.232,0.6855405533838562
4.0,90.0,0.234,0.7021173847725296
4.0,90.0,0.23600000000000002,0.7185748845033706
4.0,90.0,0.23800000000000002,0.7349372235188737
4.0,90.0,0.24,0.7511897416434635
4.0,90.0,0.242,0.7673145669047532
4.0,90.0,0.244,0.7832995213147774
4.0,90.0,0.246,0.7991352377751754
4.0,90.0,0.248,0.8148141512450118
4.0,90.0,0.25,0.8303300137887228
4.0,90.0,0.252,0.8456776138577923
4.0,90.0,0.254,0.8608915359470266
4.0,90.0,0.256,0.8759777601843021
4.0,90.0,0.258,0.8909215216326927
4.0,90.0,0.26,0.9057110402307588
4.0,90.0,0.262,0.9203383809074387
4.0,90.0,0.264,0.9347976704173662
4.0,90.0,0.266,0.949084396905474
4.0,90.0,0.268,0.9631950494376991
4.0,90.0,0.27,0.9771290592422011
4.0,90.0,0.272,0.9909278322084137
4.0,90.0,0.274,1.0045864838190492
4.0,90.0,0.276,1.0180913908825908
4.0,90.0,0.278,1.0314347695209904
4.0,90.0,0.28,1.0446114288740955
4.0,90.0,0.28200000000000003,1.057617705166225
4.0,90.0,0.28400000000000003,1.0704509750990066
4.0,90.0,0.28600000000000003,1.0831093865973147
4.0,90.0,0.28800000000000003,1.0956019914006232
4.0,90.0,0.29,1.1079580370544728
4.0,90.0,0.292,1.1201721408727698
4.0,90.0,0.294,1.1322341137404486
4.0,90.0,0.296,1.1441383201538458
4.0,90.0,0.298,1.1558811951396946
4.0,90.0,0.3,1.1674604039658458
4.0,90.0,0.302,1.1788744502543473
4.0,90.0,0.304,1.1901224560463133
4.0,90.0,0.306,1.201217649738755
4.0,90.0,0.308,1.21218172235665
4.0,90.0,0.31,1.223009473369506
4.0,90.0,0.312,1.2336930270477027
4.0,90.0,0.314,1.2442281710256202
4.0,90.0,0.316,1.2546123878458888
4.0,90.0,0.318,1.26484417295363
4.0,90.0,0.32,1.274922711632013
4.0,90.0,0.322,1.284847695898441
4.0,90.0,0.324,1.2946325852783023
4.0,90.0,0.326,1.3042952564104444
4.0,90.0,0.328,1.3138311969523584
4.0,90.0,0.33,1.3232340366143756
4.0,90.0,0.332,1.332500492310628
4.0,90.0,0.334,1.3416287156980888
4.0,90.0,0.336,1.3506177152033982
4.0,90.0,0.338,1.3594670806826776
4.0,90.0,0.34,1.3681768268950134
4.0,90.0,0.342,1.376757953394175
4.0,90.0,0.34400000000000003,1.385227314653286
4.0,90.0,0.34600000000000003,1.3935814319036375
4.0,90.0,0.34800000000000003,1.4018148679542792
4.0,90.0,0.35000000000000003,1.4099249327151002
4.0,90.0,0.352,1.4179101978467894
4.0,90.0,0.354,1.4257699815821314
4.0,90.0,0.356,1.4335041048298323
4.0,90.0,0.358,1.441112753218893
4.0,90.0,0.36,1.448602782749753
4.0,90.0,0.362,1.4559919373092136
4.0,90.0,0.364,1.46327799075723
4.0,90.0,0.366,1.4704560429784772
4.0,90.0,0.368,1.477523769130033
4.0,90.0,0.37,1.4844799964780777
4.0,90.0,0.372,1.4913242222778262
4.0,90.0,0.374,1.4980563893437862
4.0,90.0,0.376,1.504676760677093
4.0,90.0,0.378,1.5111871466812805
4.0,90.0,0.38,1.517607342804011
4.0,90.0,0.382,1.5239365015252158
4.0,90.0,0.384,1.5301699946661043
4.0,90.0,0.386,1.536305710233206
4.0,90.0,0.388,1.5423426228925272
4.0,90.0,0.39,1.5482803246846673
4.0,90.0,0.392,1.554118811664653
4.0,90.0,0.394,1.5598583668105488
4.0,90.0,0.396,1.5654994874518136
4.0,90.0,0.398,1.5710564734182606
4.0,90.0,0.4,1.576533146421186
4.0,90.0,0.402,1.581926234794183
4.0,90.0,0.404,1.58723347592571
4.0,90.0,0.406,1.5924538416114602
4.0,90.0,0.40800000000000003,1.5975869315579119
4.0,90.0,0.41000000000000003,1.6026327356194099
