tta_condition,d_condition,t,rt_corr_pdf
4.0,90.0,0.0,0.0
4.0,90.0,0.002,0.0
4.0,90.0,0.004,0.0
4.0,90.0,0.006,0.0
4.0,90.0,0.008,0.0
4.0,90.0,0.01,0.0
4.0,90.0,0.012,0.0
4.0,90.0,0.014,0.0
4.0,90.0,0.016,0.0
4.0,90.0,0.018000000000000002,0.0
4.0,90.0,0.02,0.0
4.0,90.0,0.022,0.0
4.0,90.0,0.024,0.0
4.0,90.0,0.026000000000000002,0.0
4.0,90.0,0.028,0.0
4.0,90.0,0.03,0.0
4.0,90.0,0.032,0.0
4.0,90.0,0.034,0.0
4.0,90.0,0.036000000000000004,0.0
4.0,90.0,0.038,0.0
4.0,90.0,0.04,0.0
4.0,90.0,0.042,0.0
4.0,90.0,0.044,0.0
4.0,90.0,0.046,0.0
4.0,90.0,0.048,0.0
4.0,90.0,0.05,0.0
4.0,90.0,0.052000000000000005,0.0
4.0,90.0,0.054,0.0
4.0,90.0,0.056,0.0
4.0,90.0,0.058,0.0
4.0,90.0,0.06,0.0
4.0,90.0,0.062,0.0
4.0,90.0,0.064,0.0
4.0,90.0,0.066,0.0
4.0,90.0,0.068,0.0
4.0,90.0,0.07,0.0
4.0,90.0,0.07200000000000001,0.0
4.0,90.0,0.074,0.0
4.0,90.0,0.076,0.0
4.0,90.0,0.078,0.0
4.0,90.0,0.08,0.0
4.0,90.0,0.082,0.0
4.0,90.0,0.084,0.0
4.0,90.0,0.08600000000000001,0.0
4.0,90.0,0.088,0.0
4.0,90.0,0.09,0.0
4.0,90.0,0.092,0.0
4.0,90.0,0.094,0.0
4.0,90.0,0.096,0.0
4.0,90.0,0.098,0.0
4.0,90.0,0.1,0.0
4.0,90.0,0.10200000000000001,0.0
4.0,90.0,0.10400000000000001,1.7037660824817965e-07
4.0,90.0,0.106,1.6910166021370612e-06
4.0,90.0,0.108,8.855426705251695e-06
4.0,90.0,0.11,3.260915887391965e-05
4.0,90.0,0.112,9.493889000983327e-05
4.0,90.0,0.114,0.00023294707061343372
4.0,90.0,0.116,0.0005013837313703292
4.0,90.0,0.11800000000000001,0.0009728436312149119
4.0,90.0,0.12,0.0017355009391708256
4.0,90.0,0.122,0.0028888452128204623
4.0,90.0,0.124,0.004538225491479988
4.0,90.0,0.126,0.006789077403096604
4.0,90.0,0.128,0.009741572649778856
4.0,90.0,0.13,0.013486193547591188
4.0,90.0,0.132,0.018100485070428468
4.0,90.0,0.134,0.02364702750918037
4.0,90.0,0.136,0.030172526701501796
4.0,90.0,0.138,0.037707835664658136
4.0,90.0,0.14,0.046268689452501253
4.0,90.0,0.14200000000000002,0.05585693855852426
4.0,90.0,0.14400000000000002,0.06646209070392199
4.0,90.0,0.146,0.07806300508200573
4.0,90.0,0.148,0.09062961935757385
4.0,90.0,0.15,0.10412462332160247
4.0,90.0,0.152,0.11850502177875802
4.0,90.0,0.154,0.13372355225158986
4.0,90.0,0.156,0.14972994060348266
4.0,90.0,0.158,0.16647199037393104
4.0,90.0,0.16,0.18389651032985774
4.0,90.0,0.162,0.2019500903196828
4.0,90.0,0.164,0.2205797387435441
4.0,90.0,0.166,0.23973339647254796
4.0,90.0,0.168,0.2593603423824914
4.0,90.0,0.17,0.27942575630265926
4.0,90.0,0.17200000000000001,0.29988656017475906
4.0,90.0,0.17400000000000002,0.3206948761467099
4.0,90.0,0.176,0.34180552432676875
4.0,90.0,0.178,0.3631763713354092
4.0,90.0,0.18,0.38476787038973553
4.0,90.0,0.182,0.40654288796740623
4.0,90.0,0.184,0.42846660102475953
4.0,90.0,0.186,0.45050641257243895
4.0,90.0,0.188,0.4726318699632301
4.0,90.0,0.19,0.4948145812008354
4.0,90.0,0.192,0.5170281283777918
4.0,90.0,0.194,0.5392479787251524
4.0,90.0,0.196,0.5614513942068119
4.0,90.0,0.198,0.5836173406671867
4.0,90.0,0.2,0.6057263974648243
4.0,90.0,0.202,0.6277606683924819
4.0,90.0,0.20400000000000001,0.6497036945392493
4.0,90.0,0.20600000000000002,0.6715403696115045
4.0,90.0,0.20800000000000002,0.6932568581048477
4.0,90.0,0.21,0.7148405166111855
4.0,90.0,0.212,0.736279818453888
4.0,90.0,0.214,0.7575642817681563
4.0,90.0,0.216,0.778684401081801
4.0,90.0,0.218,0.7996315824017048
4.0,90.0,0.22,0.8203980817716126
4.0,90.0,0.222,0.8409769472359515
4.0,90.0,0.224,0.8613619641207244
4.0,90.0,0.226,0.8815476035248798
4.0,90.0,0.228,0.901528973902904
4.0,90.0,0.23,0.9213017756107723
4.0,90.0,0.232,0.9408622582820751
4.0,90.0,0.234,0.9602167597833535
4.0,90.0,0.23600000000000002,0.9793699260948829
4.0,90.0,0.23800000000000002,0.9983167774846764
4.0,90.0,0.24,1.0170521993970187
4.0,90.0,0.242,1.0355727489264537
4.0,90.0,0.244,1.0538758874479173
4.0,90.0,0.246,1.0719597027249697
4.0,90.0,0.248,1.0898227704781414
4.0,90.0,0.25,1.1074640708636005
4.0,90.0,0.252,1.1248829312372681
4.0,90.0,0.254,1.1420789833415208
4.0,90.0,0.256,1.1590521292727096
4.0,90.0,0.258,1.1758025132576908
4.0,90.0,0.26,1.1923304975423712
4.0,90.0,0.262,1.2086366413563197
4.0,90.0,0.264,1.2247216822838067
4.0,90.0,0.266,1.2405865195861983
4.0,90.0,0.268,1.2562321991523928
4.0,90.0,0.27,1.2716598998383568
4.0,90.0,0.272,1.28687092101288
4.0,90.0,0.274,1.301866671165218
4.0,90.0,0.276,1.3166486574576528
4.0,90.0,0.278,1.3312184761259847
4.0,90.0,0.28,1.345577803645972
4.0,90.0,0.28200000000000003,1.3597283885952918
4.0,90.0,0.28400000000000003,1.3736720441496972
4.0,90.0,0.28600000000000003,1.3874106411593796
4.0,90.0,0.28800000000000003,1.4009461017575588
4.0,90.0,0.29,1.4142803934583477
4.0,90.0,0.292,1.4274155237051955
4.0,90.0,0.294,1.4403535348348715
4.0,90.0,0.296,1.4530964994251294
4.0,90.0,0.298,1.4656494493643168
4.0,90.0,0.3,1.4780226761847806
4.0,90.0,0.302,1.4902172355953927
4.0,90.0,0.304,1.5022327903036363
4.0,90.0,0.306,1.51407010097082
4.0,90.0,0.308,1.5257303809276017
4.0,90.0,0.31,1.5372150868632235
4.0,90.0,0.312,1.5485258259970134
4.0,90.0,0.314,1.5596643067483522
4.0,90.0,0.316,1.5706323091866012
4.0,90.0,0.318,1.5814316657403782
4.0,90.0,0.32,1.5920642477613716
4.0,90.0,0.322,1.6025319556833069
4.0,90.0,0.324,1.6128367115219149
4.0,90.0,0.326,1.6229804529745693
4.0,90.0,0.328,1.632965128658228
4.0,90.0,0.33,1.6427926941858384
4.0,90.0,0.332,1.6524651088789764
4.0,90.0,0.334,1.6619843329758468
4.0,90.0,0.336,1.6713523252336895
4.0,90.0,0.338,1.6805710408513599
4.0,90.0,0.34,1.6896424296562758
4.0,90.0,0.342,1.698568434512871
4.0,90.0,0.34400000000000003,1.7073509899190482
4.0,90.0,0.34600000000000003,1.715992020763973
4.0,90.0,0.34800000000000003,1.724493441225675
4.0,90.0,0.35000000000000003,1.7328571537908286
4.0,90.0,0.352,1.741085048382079
4.0,90.0,0.354,1.749179001580653
4.0,90.0,0.356,1.7571408759338412
4.0,90.0,0.358,1.7649725193384633
4.0,90.0,0.36,1.7726757644926274
4.0,90.0,0.362,1.7802524284091097
4.0,90.0,0.364,1.7877104995722102
4.0,90.0,0.366,1.7950520816225113
4.0,90.0,0.368,1.8022773489031096
4.0,90.0,0.37,1.809387053164923
4.0,90.0,0.372,1.8163822755658043
4.0,90.0,0.374,1.82326425221919
4.0,90.0,0.376,1.8300343043082545
4.0,90.0,0.378,1.836693803309695
4.0,90.0,0.38,1.84324415125944
4.0,90.0,0.382,1.8496867685035407
4.0,90.0,0.384,1.856023085580792
4.0,90.0,0.386,1.862254537568604
4.0,90.0,0.388,1.8683825599880746
4.0,90.0,0.39,1.874408585744722
4.0,90.0,0.392,1.8803340427849944
4.0,90.0,0.394,1.8861603522642774
4.0,90.0,0.396,1.8918889270909622
4.0,90.0,0.398,1.8975211707539081
4.0,90.0,0.4,1.903058476368065
4.0,90.0,0.402,1.908502225891259
4.0,90.0,0.404,1.9138537894774896
4.0,90.0,0.406,1.9191145249407464
4.0,90.0,0.40800000000000003,1.924285777309461
4.0,90.0,0.41000000000000003,1.929368878456184
4.0,90.0,0.41200000000000003,1.9343651467903302
