condition,t,rt_corr_pdf
4.0,0.0,0.0
4.0,0.002,0.0
4.0,0.004,0.0
4.0,0.006,0.0
4.0,0.008,0.0
4.0,0.01,0.0
4.0,0.012,0.0
4.0,0.014,0.0
4.0,0.016,0.0
4.0,0.018000000000000002,0.0
4.0,0.02,0.0
4.0,0.022,0.0
4.0,0.024,0.0
4.0,0.026000000000000002,0.0
4.0,0.028,0.0
4.0,0.03,0.0
4.0,0.032,0.0
4.0,0.034,0.0
4.0,0.036000000000000004,0.0
4.0,0.038,0.0
4.0,0.04,0.0
4.0,0.042,0.0
4.0,0.044,0.0
4.0,0.046,0.0
4.0,0.048,0.0
4.0,0.05,0.0
4.0,0.052000000000000005,0.0
4.0,0.054,0.0
4.0,0.056,0.0
4.0,0.058,0.0
4.0,0.06,0.0
4.0,0.062,0.0
4.0,0.064,0.0
4.0,0.066,0.0
4.0,0.068,0.0
4.0,0.07,0.0
4.0,0.07200000000000001,0.0
4.0,0.074,0.0
4.0,0.076,0.0
4.0,0.078,0.0
4.0,0.08,0.0
4.0,0.082,0.0
4.0,0.084,0.0
4.0,0.08600000000000001,0.0
4.0,0.088,0.0
4.0,0.09,0.0
4.0,0.092,0.0
4.0,0.094,0.0
4.0,0.096,0.0
4.0,0.098,0.0
4.0,0.1,0.0
4.0,0.10200000000000001,0.0
4.0,0.10400000000000001,0.0
4.0,0.106,0.0
4.0,0.108,0.0
4.0,0.11,0.0
4.0,0.112,0.0
4.0,0.114,0.0
4.0,0.116,0.0
4.0,0.11800000000000001,0.0
4.0,0.12,0.0
4.0,0.122,0.0
4.0,0.124,0.0
4.0,0.126,0.0
4.0,0.128,0.0
4.0,0.13,0.0
4.0,0.132,0.0
4.0,0.134,0.0
4.0,0.136,0.0
4.0,0.138,0.0
4.0,0.14,0.0
4.0,0.14200000000000002,0.0
4.0,0.14400000000000002,0.0
4.0,0.146,0.0
4.0,0.148,0.0
4.0,0.15,0.0
4.0,0.152,0.0
4.0,0.154,0.0
4.0,0.156,0.0
4.0,0.158,0.0
4.0,0.16,0.0
4.0,0.162,0.0
4.0,0.164,0.0
4.0,0.166,0.0
4.0,0.168,0.0
4.0,0.17,0.0
4.0,0.17200000000000001,0.0
4.0,0.17400000000000002,0.0
4.0,0.176,0.0
4.0,0.178,0.0
4.0,0.18,0.0
4.0,0.182,0.0
4.0,0.184,0.0
4.0,0.186,0.0
4.0,0.188,0.0
4.0,0.19,0.0
4.0,0.192,0.0
4.0,0.194,0.0
4.0,0.196,0.0
4.0,0.198,0.0
4.0,0.2,0.0
4.0,0.202,0.0
4.0,0.20400000000000001,0.0
4.0,0.20600000000000002,0.0
4.0,0.20800000000000002,0.0
4.0,0.21,0.0
4.0,0.212,0.0
4.0,0.214,0.0
4.0,0.216,0.0
4.0,0.218,0.0
4.0,0.22,0.0
4.0,0.222,0.0
4.0,0.224,0.0
4.0,0.226,0.0
4.0,0.228,0.0
4.0,0.23,0.0
4.0,0.232,0.0
4.0,0.234,0.0
4.0,0.23600000000000002,0.0
4.0,0.23800000000000002,0.0
4.0,0.24,0.0
4.0,0.242,0.0
4.0,0.244,0.0
4.0,0.246,0.0
4.0,0.248,0.0
4.0,0.25,0.0
4.0,0.252,0.0
4.0,0.254,0.0
4.0,0.256,0.0
4.0,0.258,0.0
4.0,0.26,0.0
4.0,0.262,0.0
4.0,0.264,0.0
4.0,0.266,0.0
4.0,0.268,8.407987807889111e-10
4.0,0.27,2.324921406161561e-08
4.0,0.272,3.099613150597817e-07
4.0,0.274,2.656980325690104e-06
4.0,0.276,1.6483334244791307e-05
4.0,0.278,7.90287582281876e-05
4.0,0.28,0.00030557292386743535
4.0,0.28200000000000003,0.0009826683023313077
4.0,0.28400000000000003,0.002692565459287943
4.0,0.28600000000000003,0.006415294070160439
4.0,0.28800000000000003,0.01353147704944338
4.0,0.29,0.025681867561604805
4.0,0.292,0.044518142555076516
4.0,0.294,0.07144046521994674
4.0,0.296,0.10741131603507954
4.0,0.298,0.1528796574590474
4.0,0.3,0.20779850105010217
4.0,0.302,0.27170002645406055
4.0,0.304,0.3437960040863061
4.0,0.306,0.42308103583109236
4.0,0.308,0.5084253848366027
4.0,0.31,0.5986513875154224
4.0,0.312,0.6925921025587339
4.0,0.314,0.7891334139300052
4.0,0.316,0.8872420177064108
4.0,0.318,0.9859820761821368
4.0,0.32,1.0845232002123246
4.0,0.322,1.1821420858166702
4.0,0.324,1.2782197191686855
4.0,0.326,1.3722356589079547
4.0,0.328,1.4637605455180034
4.0,0.33,1.5524476858665093
4.0,0.332,1.63802431920531
4.0,0.334,1.7202829826802652
4.0,0.336,1.799073251487481
4.0,0.338,1.874294023065295
4.0,0.34,1.9458864380462397
4.0,0.342,2.0138274765829647
4.0,0.34400000000000003,2.0781242315713464
4.0,0.34600000000000003,2.138808835817363
4.0,0.34800000000000003,2.1959340049659914
4.0,0.35000000000000003,2.249569149376749
4.0,0.352,2.2997970041451317
4.0,0.354,2.346710725659236
4.0,0.356,2.3904114043689124
4.0,0.358,2.431005946059384
4.0,0.36,2.4686052773012346
4.0,0.362,2.5033228345103766
4.0,0.364,2.5352732999268746
4.0,0.366,2.5645715516343657
4.0,0.368,2.591331798380606
4.0,0.37,2.615666873356802
4.0,0.372,2.6376876642152007
4.0,0.374,2.657502659437787
4.0,0.376,2.675217593715848
4.0,0.378,2.690935177272118
4.0,0.38,2.7047548960712042
4.0,0.382,2.71677287163997
4.0,0.384,2.7270817707788226
4.0,0.386,2.7357707568090324
4.0,0.388,2.742925475190716
4.0,0.39,2.7486280673806176
4.0,0.392,2.752957207696229
4.0,0.394,2.755988158729691
4.0,0.396,2.7577928415261366
4.0,0.398,2.7584399173199508
4.0,0.4,2.757994878120811
4.0,0.402,2.756520143869759
4.0,0.404,2.7540751642531456
4.0,0.406,2.7507165235772892
4.0,0.40800000000000003,2.746498047376282
4.0,0.41000000000000003,2.741470909655419
4.0,0.41200000000000003,2.7356837398690876
4.0,0.41400000000000003,2.729182728898959
4.0,0.41600000000000004,2.7220117334402723
4.0,0.418,2.714212378324193
4.0,0.42,2.7058241564060577
4.0,0.422,2.6968845257350647
4.0,0.424,2.68742900379308
4.0,0.426,2.6774912586507593
4.0,0.428,2.66710319693967
4.0,0.43,2.6562950485809917
4.0,0.432,2.645095448246153
4.0,0.434,2.6335315135531583
4.0,0.436,2.6216289200256595
4.0,0.438,2.6094119728605794
4.0,0.44,2.5969036755650206
4.0,0.442,2.5841257955350163
